,L1_Unhatched_2,L1_Unhatched_3,L1_Unhatched_4,L1_Unhatched_5,L1_Unhatched_6,L1_Hatched_1,L1_Hatched_2,L1_Hatched_3,L1_3hr_2,L1_3hr_3,L1_3hr_4,L1_3hr_6,L1_24hr_1,L1_24hr_2,L1_24hr_3,L1_24hr_4,L1_24hr_5,L1_24hr_6,L2_1,L2_2,L2_3,L2_4,L2_5,L2_6
TMUE_0000000001.1,64,62,54,66,50,21,6,69,4,5,16,8,12,10,19,14,2,16,72,66,1,48,47,5
TMUE_0000000002.1,6,12,51,12,12,18,5,0,0,0,16,0,0,0,0,0,0,3,0,0,5,0,16,0
TMUE_0000000002.2,28,11,31,81,13,14,0,1,6,0,0,7,0,8,0,1,0,0,0,4,3,0,9,3
TMUE_0000000002.3,235,126,33,321,120,0,0,13,8,7,0,0,4,0,10,0,0,0,14,19,0,18,10,3
TMUE_0000000002.4,23,0,163,196,35,11,0,30,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7
TMUE_0000000003.1,0,0,12,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMUE_0000000004.1,2,3,0,0,3,1,0,0,2,0,0,0,0,0,1,0,0,0,2,2,0,1,0,5
TMUE_0000000005.1,1,1,0,4,2,0,0,1,0,3,0,0,0,12,4,0,5,4,55,58,18,50,39,13
TMUE_0000000006.1,675,870,295,711,668,208,3,390,9,55,58,7,4,93,28,26,12,24,151,372,22,404,375,31
TMUE_0000000007.1,477,248,377,291,112,119,9,74,42,65,73,6,21,118,122,24,20,66,64,106,123,100,186,119
TMUE_0000000009.1,65,20,207,49,6,16,4,19,3,19,24,19,5,11,35,15,4,21,17,8,54,15,13,71
TMUE_0000000012.1,27,9,43,159,148,0,0,15,0,14,12,0,0,0,10,1,0,0,4,12,13,3,3,0
TMUE_0000000013.1,42,38,317,28,11,2,8,14,52,12,9,10,11,0,56,25,8,26,102,71,154,27,60,151
TMUE_0000000014.1,15,6,14,10,2,4,0,4,0,5,8,0,23,0,4,8,1,10,23,17,3,4,11,7
TMUE_0000000015.1,0,2,6,2,3,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,5
TMUE_0000000016.1,0,48,122,0,31,7,5,16,0,19,6,0,1,10,20,15,2,21,0,26,20,0,6,21
TMUE_0000000017.1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
TMUE_0000000018.1,210,162,101,122,110,66,3,60,0,54,21,1,7,62,53,14,6,34,78,83,14,38,106,10
TMUE_0000000019.1,323,174,193,176,76,90,8,70,38,24,35,6,28,50,53,30,12,36,180,110,28,104,142,17
TMUE_0000000021.1,567,350,219,141,85,149,0,42,19,13,25,4,13,54,112,15,9,52,61,49,24,119,87,21
TMUE_0000000022.1,8,0,0,2,2,0,0,0,0,2,1,0,0,2,6,0,0,0,4,1,1,4,3,2
TMUE_0000000023.1,20,17,71,61,7,2,8,0,0,0,2,0,0,0,2,0,0,1,2,5,35,3,1,24
TMUE_0000000024.1,51,47,21,39,23,18,0,30,1,9,9,0,5,2,6,3,2,5,104,71,6,76,77,5
TMUE_0000000025.1,96,44,80,86,32,40,3,31,6,8,18,1,18,29,26,18,1,13,117,89,32,86,67,23
TMUE_0000000026.1,14,10,18,4,2,4,0,2,0,0,2,2,0,0,0,2,0,0,506,146,12,26,106,10
TMUE_0000000027.1,5,4,18,6,3,0,1,4,1,2,0,0,0,1,2,1,0,1,3,3,3,1,0,4
TMUE_0000000028.1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
TMUE_0000000029.1,92,58,92,82,52,20,4,55,5,46,43,2,29,44,70,48,12,32,178,108,18,57,80,14
TMUE_0000000030.1,50,14,146,34,20,27,3,3,2,2,14,4,6,12,12,6,4,8,77,120,50,132,116,64
TMUE_0000000031.1,94,54,80,66,54,28,6,54,8,4,20,1,18,4,16,16,10,20,102,66,8,32,37,12
TMUE_0000000032.1,7,14,8,9,2,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
TMUE_0000000033.1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMUE_0000000034.1,2,1,34,6,4,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,22,0,0,18
TMUE_0000000035.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,2
TMUE_0000000036.1,258,212,256,162,82,94,9,65,10,21,10,2,12,20,29,10,2,20,74,32,33,33,66,34
TMUE_0000000037.1,52,14,47,50,13,33,1,28,4,24,44,10,28,42,50,26,7,38,200,122,14,85,70,6
TMUE_0000000038.1,211,231,230,143,153,0,7,179,26,30,107,19,88,58,64,0,35,64,169,113,0,0,73,47
TMUE_0000000039.1,10,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMUE_0000000040.1,0,5,30,12,9,0,0,0,1,2,0,2,0,10,13,4,0,0,0,0,0,10,1,28
TMUE_0000000041.1,295,208,496,285,291,47,85,197,25,58,71,17,3,53,82,40,32,46,129,104,225,111,129,211
TMUE_0000000042.1,161,98,920,100,78,43,108,22,7,17,16,6,3,15,20,9,12,14,36,51,394,43,105,360
TMUE_0000000043.1,22,5,45,65,12,10,0,10,3,15,7,0,10,16,22,5,14,24,129,66,0,28,33,6
TMUE_0000000044.1,5,1,4,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,8,3,1,2,6,0
TMUE_0000000045.1,4,1,25,1,10,3,7,0,1,0,5,0,0,3,0,1,6,0,0,0,34,0,3,27
TMUE_0000000046.1,289,97,78,300,50,88,4,52,19,3,65,1,8,10,18,3,8,11,12,13,1,24,9,1
TMUE_0000000048.1,31,24,115,45,47,2,0,16,6,4,9,0,0,5,10,0,1,0,32,10,2,12,2,0
TMUE_0000000049.1,0,0,29,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,4,1,4,0,0,4
TMUE_0000000050.1,525,384,528,727,312,103,28,203,66,126,150,16,36,102,114,69,20,166,232,228,145,104,169,120
TMUE_0000000051.1,151,176,242,96,90,95,5,52,14,0,11,1,10,24,42,0,4,0,58,53,8,30,65,13
TMUE_0000000052.1,62,29,124,39,22,18,11,15,8,7,3,5,6,28,44,12,10,23,108,90,119,66,146,122
TMUE_0000000053.1,2,1,40,0,2,0,1,1,0,1,2,0,0,0,0,0,0,1,10,8,1,11,5,1
TMUE_0000000054.1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,10,1,1,3
TMUE_0000000055.1,1,0,46,0,0,0,2,0,0,0,0,1,0,0,0,2,0,2,2,2,20,2,2,30
TMUE_0000000056.1,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
TMUE_0000000057.1,12,4,15,5,2,5,0,14,2,3,5,0,18,19,11,9,0,3,70,18,13,12,11,7
TMUE_0000000058.1,10,12,33,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,19,0,0,6
TMUE_0000000059.1,0,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
TMUE_0000000060.1,211,174,168,129,72,68,16,22,5,14,14,1,15,0,18,1,4,25,7,21,18,41,24,15
TMUE_0000000061.1,174,95,80,142,87,27,4,46,25,18,48,12,9,28,52,26,11,24,50,83,18,76,87,20
TMUE_0000000062.1,344,267,114,168,143,102,4,204,11,56,62,14,29,32,78,36,14,62,238,164,52,114,180,38
TMUE_0000000064.1,0,1,11,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
TMUE_0000000065.1,193,154,453,88,94,86,19,47,17,37,30,0,24,77,112,25,17,21,149,163,314,106,323,261
TMUE_0000000067.1,70,67,171,130,108,50,2,98,10,8,37,18,38,23,69,61,22,37,135,132,26,29,58,3
TMUE_0000000068.1,427,280,472,1034,258,187,18,221,72,148,426,118,290,634,501,456,146,470,3518,4678,794,3809,1119,913
TMUE_0000000069.1,0,0,408,18,37,0,194,4,11,3,0,0,0,0,4,19,7,2,6,9,321,8,7,180
TMUE_0000000070.1,10,0,21,2,0,0,0,11,0,2,3,0,0,0,5,4,1,3,10,6,0,0,7,0
TMUE_0000000071.1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3195,6258,143,4500,2852,175
TMUE_0000000072.1,117,143,127,145,66,81,0,108,0,35,23,19,35,73,56,34,22,80,108,182,29,220,190,20
