target_id,Cluster
TMUE_0000000002.1,C0
TMUE_0000000002.4,C0
TMUE_0000000032.1,C0
TMUE_0000000041.1,C0
TMUE_0000000046.1,C0
TMUE_0000000060.1,C0
TMUE_0000000062.1,C0
TMUE_0000000075.1,C0
TMUE_0000000079.1,C0
TMUE_0000000104.1,C0
TMUE_0000000105.1,C0
TMUE_0000000120.1,C0
TMUE_0000000125.1,C0
TMUE_0000000134.1,C0
TMUE_0000000138.1,C0
TMUE_0000000140.1,C0
TMUE_0000000142.1,C0
TMUE_0000000145.1,C0
TMUE_0000000155.1,C0
TMUE_0000000170.1,C0
TMUE_0000000226.1,C0
TMUE_0000000230.1,C0
TMUE_0000000236.1,C0
TMUE_0000000244.1,C0
TMUE_0000000245.1,C0
TMUE_0000000248.1,C0
TMUE_0000000256.1,C0
TMUE_0000000265.1,C0
TMUE_0000000301.1,C0
TMUE_0000000318.1,C0
TMUE_0000000333.1,C0
TMUE_0000000337.1,C0
TMUE_0000000338.1,C0
TMUE_0000000338.2,C0
TMUE_0000000342.1,C0
TMUE_0000000347.1,C0
TMUE_0000000355.1,C0
TMUE_0000000372.1,C0
TMUE_0000000373.1,C0
TMUE_0000000377.1,C0
TMUE_0000000380.1,C0
TMUE_0000000389.1,C0
TMUE_0000000391.1,C0
TMUE_0000000397.1,C0
TMUE_0000000399.1,C0
TMUE_0000000400.1,C0
TMUE_0000000418.1,C0
TMUE_0000000419.1,C0
TMUE_0000000435.1,C0
TMUE_0000000437.1,C0
TMUE_0000000439.1,C0
TMUE_0000000444.1,C0
TMUE_0000000450.1,C0
TMUE_0000000451.1,C0
TMUE_0000000452.1,C0
TMUE_0000000453.1,C0
TMUE_0000000458.2,C0
TMUE_0000000462.1,C0
TMUE_0000000463.1,C0
TMUE_0000000486.1,C0
TMUE_0000000509.1,C0
TMUE_0000000511.1,C0
TMUE_0000000519.1,C0
TMUE_0000000527.1,C0
TMUE_0000000547.1,C0
TMUE_0000000553.1,C0
TMUE_0000000556.1,C0
TMUE_0000000559.1,C0
TMUE_0000000629.1,C0
TMUE_0000000652.1,C0
TMUE_0000000653.1,C0
TMUE_0000000690.1,C0
TMUE_0000000691.2,C0
TMUE_0000000697.1,C0
TMUE_0000000714.1,C0
TMUE_0000000729.1,C0
TMUE_0000000742.1,C0
TMUE_0000000744.1,C0
TMUE_0000000745.1,C0
TMUE_0000000749.1,C0
TMUE_0000000758.1,C0
TMUE_0000000780.1,C0
TMUE_0000000786.1,C0
TMUE_0000000792.2,C0
TMUE_0000000798.1,C0
TMUE_0000000812.1,C0
TMUE_0000000816.1,C0
TMUE_0000000841.1,C0
TMUE_0000000877.1,C0
TMUE_0000000881.1,C0
TMUE_0000000883.1,C0
TMUE_0000000903.1,C0
TMUE_0000000954.1,C0
TMUE_0000000979.1,C0
TMUE_0000000984.2,C0
TMUE_0000000986.1,C0
TMUE_0000000988.1,C0
TMUE_0000000992.1,C0
TMUE_0000001013.1,C0
TMUE_0000001027.1,C0
TMUE_0000001028.1,C0
TMUE_0000001039.1,C0
TMUE_0000001051.1,C0
TMUE_0000001076.1,C0
TMUE_0000001085.1,C0
TMUE_0000001090.1,C0
TMUE_0000001102.1,C0
TMUE_0000001118.1,C0
TMUE_0000001121.1,C0
TMUE_0000001147.1,C0
TMUE_0000001148.2,C0
TMUE_0000001152.1,C0
TMUE_0000001161.1,C0
TMUE_0000001163.1,C0
TMUE_0000001200.1,C0
TMUE_0000001206.1,C0
TMUE_0000001227.1,C0
TMUE_0000001272.1,C0
TMUE_0000001285.1,C0
TMUE_0000001290.1,C0
TMUE_0000001292.1,C0
TMUE_0000001300.1,C0
TMUE_0000001316.1,C0
TMUE_0000001322.1,C0
TMUE_0000001323.1,C0
TMUE_0000001363.1,C0
TMUE_0000001366.1,C0
TMUE_0000001383.1,C0
TMUE_0000001389.1,C0
TMUE_0000001398.1,C0
TMUE_0000001401.1,C0
TMUE_0000001409.1,C0
TMUE_0000001410.1,C0
TMUE_0000001411.1,C0
TMUE_0000001420.1,C0
TMUE_0000001441.1,C0
TMUE_0000001448.1,C0
TMUE_0000001466.1,C0
TMUE_0000001480.1,C0
TMUE_0000001509.1,C0
TMUE_0000001522.1,C0
TMUE_0000001526.1,C0
TMUE_0000001535.1,C0
TMUE_0000001583.1,C0
TMUE_0000001585.1,C0
TMUE_0000001606.1,C0
TMUE_0000001621.1,C0
TMUE_0000001622.1,C0
TMUE_0000001647.1,C0
TMUE_0000001658.1,C0
TMUE_0000001669.1,C0
TMUE_0000001673.1,C0
TMUE_0000001686.1,C0
TMUE_0000001690.1,C0
TMUE_0000001691.1,C0
TMUE_0000001692.1,C0
TMUE_0000001746.1,C0
TMUE_0000001758.1,C0
TMUE_0000001775.1,C0
TMUE_0000001812.1,C0
TMUE_0000001814.1,C0
TMUE_0000001823.1,C0
TMUE_0000001856.1,C0
TMUE_0000001859.1,C0
TMUE_0000001888.1,C0
TMUE_0000001889.1,C0
TMUE_0000001897.1,C0
TMUE_0000001907.1,C0
TMUE_0000001918.1,C0
TMUE_0000001940.1,C0
TMUE_0000001953.1,C0
TMUE_0000001957.1,C0
TMUE_0000001966.1,C0
TMUE_0000001986.1,C0
TMUE_0000001988.1,C0
TMUE_0000001991.1,C0
TMUE_0000001994.1,C0
TMUE_0000001999.1,C0
TMUE_0000002005.1,C0
TMUE_0000002006.1,C0
TMUE_0000002018.1,C0
TMUE_0000002053.1,C0
TMUE_0000002059.1,C0
TMUE_0000002060.1,C0
TMUE_0000002073.1,C0
TMUE_0000002095.1,C0
TMUE_0000002105.1,C0
TMUE_0000002116.1,C0
TMUE_0000002126.1,C0
TMUE_0000002166.1,C0
TMUE_0000002172.2,C0
TMUE_0000002198.1,C0
TMUE_0000002208.1,C0
TMUE_0000002216.1,C0
TMUE_0000002225.1,C0
TMUE_0000002227.1,C0
TMUE_0000002244.1,C0
TMUE_0000002254.1,C0
TMUE_0000002263.1,C0
TMUE_0000002279.1,C0
TMUE_0000002288.1,C0
TMUE_0000002291.1,C0
TMUE_0000002295.1,C0
TMUE_0000002314.1,C0
TMUE_0000002362.1,C0
TMUE_0000002427.1,C0
TMUE_0000002429.1,C0
TMUE_0000002468.1,C0
TMUE_0000002470.1,C0
TMUE_0000002493.1,C0
TMUE_0000002504.1,C0
TMUE_1000002520.1,C0
TMUE_1000002524.1,C0
TMUE_1000002548.1,C0
TMUE_1000002551.1,C0
TMUE_1000002561.1,C0
TMUE_1000002566.1,C0
TMUE_1000002570.1,C0
TMUE_1000002580.1,C0
TMUE_1000002608.1,C0
TMUE_1000002609.1,C0
TMUE_1000002617.1,C0
TMUE_1000002626.1,C0
TMUE_1000002637.1,C0
TMUE_1000002638.1,C0
TMUE_1000002657.1,C0
TMUE_1000002664.1,C0
TMUE_1000002723.1,C0
TMUE_1000002728.1,C0
TMUE_1000002746.1,C0
TMUE_1000002748.1,C0
TMUE_1000002764.1,C0
TMUE_1000002796.1,C0
TMUE_1000002814.1,C0
TMUE_1000002839.1,C0
TMUE_1000002845.1,C0
TMUE_1000002851.1,C0
TMUE_1000002852.1,C0
TMUE_1000002853.1,C0
TMUE_1000002857.1,C0
TMUE_1000002865.5,C0
TMUE_1000002868.1,C0
TMUE_1000002886.1,C0
TMUE_1000002888.1,C0
TMUE_1000002911.1,C0
TMUE_1000002917.1,C0
TMUE_1000002926.1,C0
TMUE_1000002941.1,C0
TMUE_1000002946.1,C0
TMUE_1000002956.1,C0
TMUE_1000002980.1,C0
TMUE_1000003007.1,C0
TMUE_1000003009.1,C0
TMUE_1000003023.1,C0
TMUE_1000003033.1,C0
TMUE_1000003043.1,C0
TMUE_1000003059.2,C0
TMUE_1000003065.1,C0
TMUE_1000003072.1,C0
TMUE_1000003077.1,C0
TMUE_1000003117.1,C0
TMUE_1000003118.1,C0
TMUE_1000003123.1,C0
TMUE_1000003133.1,C0
TMUE_1000003138.1,C0
TMUE_1000003139.1,C0
TMUE_1000003145.1,C0
TMUE_1000003146.1,C0
TMUE_1000003147.1,C0
TMUE_1000003148.1,C0
TMUE_1000003152.2,C0
TMUE_1000003158.1,C0
TMUE_1000003159.1,C0
TMUE_1000003160.1,C0
TMUE_1000003162.1,C0
TMUE_1000003164.1,C0
TMUE_1000003167.1,C0
TMUE_1000003170.1,C0
TMUE_1000003175.1,C0
TMUE_1000003180.1,C0
TMUE_1000003180.4,C0
TMUE_1000003181.1,C0
TMUE_1000003194.1,C0
TMUE_1000003210.1,C0
TMUE_1000003213.1,C0
TMUE_1000003241.1,C0
TMUE_1000003243.1,C0
TMUE_1000003244.1,C0
TMUE_1000003245.1,C0
TMUE_1000003267.1,C0
TMUE_1000003271.1,C0
TMUE_1000003272.1,C0
TMUE_1000003277.1,C0
TMUE_1000003285.1,C0
TMUE_1000003286.1,C0
TMUE_1000003292.1,C0
TMUE_1000003297.1,C0
TMUE_1000003315.2,C0
TMUE_1000003320.1,C0
TMUE_1000003326.1,C0
TMUE_1000003329.1,C0
TMUE_1000003334.1,C0
TMUE_1000003347.1,C0
TMUE_1000003377.1,C0
TMUE_1000003379.1,C0
TMUE_1000003386.1,C0
TMUE_1000003388.1,C0
TMUE_1000003393.1,C0
TMUE_1000003395.1,C0
TMUE_1000003400.1,C0
TMUE_1000003405.1,C0
TMUE_1000003406.1,C0
TMUE_1000003411.1,C0
TMUE_1000003416.1,C0
TMUE_1000003417.1,C0
TMUE_1000003421.1,C0
TMUE_1000003423.1,C0
TMUE_1000003429.1,C0
TMUE_1000003430.3,C0
TMUE_1000003432.1,C0
TMUE_1000003438.1,C0
TMUE_1000003441.1,C0
TMUE_1000003442.1,C0
TMUE_1000003443.2,C0
TMUE_1000003447.1,C0
TMUE_1000003453.4,C0
TMUE_1000003456.3,C0
TMUE_1000003457.1,C0
TMUE_1000003458.1,C0
TMUE_1000003473.1,C0
TMUE_1000003476.1,C0
TMUE_1000003479.1,C0
TMUE_1000003482.1,C0
TMUE_1000003488.1,C0
TMUE_1000003490.1,C0
TMUE_1000003492.1,C0
TMUE_1000003508.1,C0
TMUE_1000003510.1,C0
TMUE_1000003510.2,C0
TMUE_1000003515.1,C0
TMUE_1000003517.1,C0
TMUE_1000003519.3,C0
TMUE_1000003522.1,C0
TMUE_1000003531.1,C0
TMUE_1000003532.1,C0
TMUE_1000003533.1,C0
TMUE_1000003538.1,C0
TMUE_1000003545.1,C0
TMUE_1000003550.1,C0
TMUE_1000003558.1,C0
TMUE_1000003559.1,C0
TMUE_1000003562.1,C0
TMUE_1000003564.1,C0
TMUE_1000003567.2,C0
TMUE_1000003568.1,C0
TMUE_1000003569.1,C0
TMUE_1000003573.1,C0
TMUE_1000003579.1,C0
TMUE_1000003582.2,C0
TMUE_1000003582.5,C0
TMUE_1000003586.2,C0
TMUE_1000003596.2,C0
TMUE_1000003599.1,C0
TMUE_1000003600.1,C0
TMUE_1000003601.2,C0
TMUE_1000003602.1,C0
TMUE_1000003604.1,C0
TMUE_1000003605.2,C0
TMUE_1000003606.1,C0
TMUE_1000003613.1,C0
TMUE_1000003615.10,C0
TMUE_1000003615.12,C0
TMUE_1000003615.13,C0
TMUE_1000003615.14,C0
TMUE_1000003615.15,C0
TMUE_1000003615.7,C0
TMUE_1000003617.1,C0
TMUE_1000003619.1,C0
TMUE_1000003623.4,C0
TMUE_1000003627.1,C0
