"","L1_Hatched_1","L1_Hatched_2","L1_Hatched_3","L1_Unhatched_2","L1_Unhatched_3","L1_Unhatched_4","L1_Unhatched_5","L1_Unhatched_6","L1_3hr_2","L1_3hr_3","L1_3hr_4","L1_3hr_6","L1_24hr_1","L1_24hr_2","L1_24hr_3","L1_24hr_4","L1_24hr_5","L1_24hr_6","L2_1","L2_2","L2_3","L2_4","L2_5","L2_6"
"TMUE_0000000001.1",21,6.5,69,63.5,61.5,53.5,66,49.5,3.5,5,16.5,7.5,12,9.5,19,14,2,16.5,72,66.5,1,48.5,47,5
"TMUE_0000000002.1",17.9999,5.18711,0,6.05313,12.1532,51.3139,12.0269,11.9038,0,0,16.1567,0,0,0,0,0,0,2.78742,0,0,5.0411,0,15.7201,0
"TMUE_0000000002.2",13.9287,0,0.830529,28.3898,11.0963,30.7483,80.741,13.0929,5.7821,0,0,7,0,8.22873,0,1,0,0,0,4.0084,3.06813,0,9.4058,2.82474
"TMUE_0000000002.3",3.1917e-06,0,12.5497,235.481,126.338,33.2002,321.458,120.488,8.04203,7.39883,0,0,4.31282,0,10,0,0,0,13.9908,19.0377,0,17.5395,9.9737,2.62509
"TMUE_0000000002.4",11.4041,0,29.5761,22.9,0,162.983,195.868,34.8621,0,0,0,0,0,0,0,0,0,0,6.17999,0,0,0,0,6.90825
"TMUE_0000000003.1",3,0,1,0,0,11.8086,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMUE_0000000004.1",1.28311,0,0,2,2.97608,0,0,3,1.5,0,0,0,0,0,1,0,0,0,1.5,2.0125,0,1,0,5.25
"TMUE_0000000005.1",0,0,1,1,1,0,4.26907,1.74599,0,3.07822,0,0,0,12,4,0,5,4,55.3166,58.3298,17.5608,49.7969,39.3069,13.0327
"TMUE_0000000006.1",207.778,3.26129,390.236,674.512,869.946,295.289,711.323,668.137,9,55.3317,58.1355,7,4,92.7163,28.464,26,12.1138,24.3425,151.491,372.348,22.221,404.039,374.836,31.3239
"TMUE_0000000007.1",118.91,8.83934,73.7192,477.252,247.585,377.418,291.248,111.771,42,64.5482,72.9403,6,21,117.734,122.022,23.7033,19.7302,65.9921,64.3455,106.32,122.523,99.7761,185.782,118.508
"TMUE_0000000008.1",2,0,0,0.5,0,3,0,0,0,0,0.5,0,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0
"TMUE_0000000009.1",16,4.05251,19,65,20,207,49,6.12785,3,19,24,19,5,11,35,15,4,21,17,8,54,15,13,71
"TMUE_0000000010.1",0,0,0.5,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"TMUE_0000000011.1",0,0,0.829599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55568,0,1,0,0,0
"TMUE_0000000012.1",0,0,15.4288,26.9216,8.70093,42.5214,158.846,147.691,0,13.527,11.7145,0,0,0,9.77154,1.46001,0,0,4.39772,11.8916,12.7024,3.06915,2.71257,0
"TMUE_0000000013.1",1.84195,7.71468,13.6731,41.7311,38.3712,317.346,27.9647,11.3967,52.1581,11.8558,8.55091,9.61525,10.6196,0,55.7054,24.9779,7.65134,25.8101,102.5,70.6587,153.535,27.4472,60.4754,151.128
"TMUE_0000000014.1",4.5,0,4,15.3333,6.5,14,10.5,2,0,5,7.5,0.5,23,0,4,8.25,1,10,23,16.8,3,3.5,11,7
"TMUE_0000000015.1",0,0,0,0,2,6,2.45969,3,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,4.99982
"TMUE_0000000016.1",7.09871,4.62728,15.7748,2.02413e-08,47.6079,122,0,30.7492,0,18.7467,5.63864,0,0.800914,9.55212,20,15.4834,1.62437,21.227,0,26.4711,19.7937,0,6.37707,21.2434
"TMUE_0000000017.1",0,0,0,0,0.5,2,2.5,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0.5,1.5,0,0,0
"TMUE_0000000018.1",66,3,59.5,210.5,161.5,101,122.5,110.5,0,53.5,21,1,7,62,53,14,6,34,77.5,83,14,38.5,105.5,10
"TMUE_0000000019.1",89.5,8.5,70.5,323,174.5,193,176.5,75.5,38,24,35,5.5,27.5,50.5,53,30.5,12,35.5,179.5,110.5,28.5,104.5,142,17
"TMUE_0000000020.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMUE_0000000021.1",148.775,0,42.4555,566.927,350,218.658,141.064,84.6387,19.4363,12.5091,25.0138,4.28197,13.0973,53.9912,111.876,15.4736,8.78411,52.1424,61.4113,48.8278,24.4782,119.463,86.7183,21.053
"TMUE_0000000022.1",0,0.5,0.5,8,0,0,2,1.5,0,2,1,0,0,2,6.5,0,0,0,3.5,1,1,4,3,2.5
"TMUE_0000000023.1",2,8.5,0,20,16.8,71.4737,61,7,0,0,1.5,0,0,0,2,0,0,1,1.5,5,35,3,1,24
"TMUE_0000000024.1",18,0.333333,30.3333,50.6667,47,21.3333,38.6667,23.3333,1,9,9.33333,0.333333,4.66667,2.33333,5.66667,3,2.33333,5,104,70.6667,6.33333,75.6667,77.3333,5.33333
"TMUE_0000000025.1",39.5,3,31,96.5,43.5,79.5,85.5,32,6,8.5,18.5,1,18.5,29,26,17.5,1,13,117,89,32,86.5,67,23
"TMUE_0000000026.1",3.5,0.5,2.5,14,9.5,17.5,4,2.5,0,0,2,1.5,0,0.5,0.5,2,0,0,505.5,146.5,11.5,26.5,106,10.5
"TMUE_0000000027.1",0,1,3.5,5,3.5,17.5,5.5,3,1,2,0,0,0,1,1.5,1,0,1,3,3,3,1,0,4.5
"TMUE_0000000028.1",0,0,0,1,0,1.15271,2.07252,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
"TMUE_0000000029.1",19.5,4.5,55,91.5,58,92,81.5,51.5,5,46.5,43,2.5,29,44,70.5,48,11.5,32.5,178.5,108.5,18.5,57,80.5,13.5
"TMUE_0000000030.1",26.9288,3,3,49.6512,14.5,146.5,34.4301,19.5,2.5,2.5,14.5,4.5,6,11.5,12.5,6,3.5,8.5,77,120,50,132,116,64
"TMUE_0000000031.1",27.5,6,54.5,94,53.5,80,66,54,8,4,20.5,1,18,4.5,16,16,10,19.5,102,65.5,8,32,37,11.5
"TMUE_0000000032.1",7,0,7,7,14.5,8.5,9,2,0,0,0,0,0,0,0,0,0.5,0,0,0,2,0,0,0
"TMUE_0000000033.1",0,0,0.5,0.5,1.5,4,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
"TMUE_0000000034.1",1,0,0,1.5,1,33.5,6.5,3.5,0,0,1.5,0,0,0,0,0,0,0,1,0,22.5,0,0.5,17.5
"TMUE_0000000035.1",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1.5,0,1.5
"TMUE_0000000036.1",94,9,65,258.5,212.5,256,161.5,82.5,9.5,21,10.5,1.5,12.5,20.5,29,10,2,19.5,73.5,32.5,33,33,66.5,34.5
"TMUE_0000000037.1",33,1,28.5,51.5,14.5,47,49.5,13,4,23.5,44,9.5,28.5,42.5,50.5,26.5,7,38,199.5,121.5,13.5,85,70,6
"TMUE_0000000038.1",0.00305151,6.61349,179.149,211,230.851,230.35,142.83,153,25.6286,29.9589,107,19.0711,87.9999,57.6154,63.9124,0,34.8553,64,169.105,112.827,0.000116727,0.027732,72.8489,47
"TMUE_0000000039.1",0,0,5.08691,9.76073,0,0,0,0,3.88766e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMUE_0000000040.1",0,0,0,6.73082e-06,5.02549,30.2348,11.7816,8.62402,1.04634,2.35909,0,2.4465,0,9.87679,12.9714,4.32628,0,0,0,0,3.18395e-06,10.072,0.649229,28.1929
"TMUE_0000000041.1",47.4991,85.0925,196.913,294.55,208.181,496.492,284.776,291,24.9799,58,70.6586,17,2.83714,53.187,82.469,40,32,46,129.105,104.301,225.017,110.753,129,211.276
"TMUE_0000000042.1",43,108,22,161,98.5,919.5,100,78.5,7,17,15.5,6,3,15,19.5,9,12,13.5,35.5,51,394.5,43,105,360.5
"TMUE_0000000043.1",10.4305,0,9.94552,21.8892,4.83719,45.456,64.9881,11.6319,2.82097,14.7693,7.12034,0,10.4194,16.4195,21.518,5.39812,14.4126,23.7726,129.034,65.9594,0,27.7523,33.2836,6.43138
"TMUE_0000000044.1",0,0,0.333333,5,1.33333,4.33333,2,0.666667,1.33333,0,1,0,0,0.333333,0,0.333333,0,0.333333,7.66667,3.33333,0.666667,2,6,0.333333
"TMUE_0000000045.1",3,7,0,3.71747,1,25.3166,1,9.99096,1,0,5,0,0,2.54342,0,1,5.92034,0,0,0,34.0454,0,3,27
"TMUE_0000000046.1",87.7551,3.88904,52,288.937,97.0418,77.8858,299.628,49.5559,19,3,65.2662,1,8,9.92748,17.7698,2.89071,8,11.3053,12.1979,13.4534,1.04055,24,9,1
"TMUE_0000000047.1",0.164457,0,0,0,0,0,0,1.89124,0,1.58143,0,0,0,0,0,0,0,0,0,0,0,0,0.470705,0
