target_id	length	eff_length	est_counts	tpm
TMUE_0000000001.1	207	86.9452	69	308.315
TMUE_0000000002.1	2023	1841.06	0	0
TMUE_0000000002.2	1654	1472.06	0.830529	0.219189
TMUE_0000000002.3	1719	1537.06	12.5497	3.172
TMUE_0000000002.4	1866	1684.06	29.5761	6.82296
TMUE_0000000003.1	426	256.258	1	1.51605
TMUE_0000000004.1	882	700.25	0	0
TMUE_0000000005.1	1455	1273.06	1	0.305169
TMUE_0000000006.1	822	640.434	390.236	236.725
TMUE_0000000007.1	1834	1652.06	73.7192	17.3358
TMUE_0000000008.1	216	92.6306	0	0
TMUE_0000000009.1	1847	1665.06	19	4.43316
TMUE_0000000010.1	309	158.332	0.5	1.22685
TMUE_0000000011.1	399	232.393	0.829599	1.38687
TMUE_0000000012.1	2788	2606.06	15.4288	2.30005
TMUE_0000000013.1	1947	1765.06	13.6731	3.00953
TMUE_0000000014.1	981	799.064	4	1.94477
TMUE_0000000015.1	837	655.394	0	0
TMUE_0000000016.1	5766	5584.06	15.7748	1.0975
TMUE_0000000017.1	411	242.881	0	0
TMUE_0000000018.1	1920	1738.06	59.5	13.2997
TMUE_0000000019.1	1539	1357.06	70.5	20.1827
TMUE_0000000020.1	906	724.228	0	0
TMUE_0000000021.1	1191	1009.06	42.4555	16.3458
TMUE_0000000022.1	936	754.206	0.5	0.257555
TMUE_0000000023.1	1302	1120.06	0	0
TMUE_0000000024.1	750	568.58	30.3333	20.7261
TMUE_0000000025.1	624	443.703	31	27.1431
TMUE_0000000026.1	2103	1921.06	2.5	0.505578
TMUE_0000000027.1	261	122.759	3.5	11.0766
TMUE_0000000028.1	510	333.689	0	0
TMUE_0000000029.1	2511	2329.06	55	9.17427
TMUE_0000000030.1	1065	883.064	3	1.31983
TMUE_0000000031.1	3423	3241.06	54.5	6.5328
TMUE_0000000032.1	1092	910.064	7	2.98825
TMUE_0000000033.1	2067	1885.06	0.5	0.103047
TMUE_0000000034.1	2802	2620.06	0	0
TMUE_0000000035.1	363	201.645	0	0
TMUE_0000000036.1	4548	4366.06	65	5.7838
TMUE_0000000037.1	474	299.828	28.5	36.9287
TMUE_0000000038.1	3360	3178.06	179.149	21.8999
TMUE_0000000039.1	3426	3244.06	5.08691	0.609193
TMUE_0000000040.1	5470	5288.06	0	0
TMUE_0000000041.1	579	399.78	196.913	191.357
TMUE_0000000042.1	957	775.136	22	11.0264
TMUE_0000000043.1	1824	1642.06	9.94552	2.35303
TMUE_0000000044.1	1773	1591.06	0.333333	0.0813919
TMUE_0000000045.1	240	108.302	0	0
TMUE_0000000046.1	499	323.202	52	62.5058
TMUE_0000000047.1	876	694.271	0	0
TMUE_0000000048.1	3558	3376.06	15.6948	1.80607
TMUE_0000000049.1	753	571.58	1.12149	0.762267
TMUE_0000000050.1	2397	2215.06	202.532	35.522
TMUE_0000000051.1	2940	2758.06	52.138	7.34414
TMUE_0000000052.1	1839	1657.06	15	3.51676
TMUE_0000000053.1	759	577.546	1	0.672673
TMUE_0000000054.1	636	455.567	0	0
TMUE_0000000055.1	2781	2599.06	0	0
TMUE_0000000056.1	7494	7312.06	0.000116047	6.16573e-06
TMUE_0000000057.1	2472	2290.06	14.2058	2.40996
