target_id	length	eff_length	est_counts	tpm
TMUE_0000000001.1	207	103.764	49.5	160.59
TMUE_0000000002.1	2023	1865.24	11.9038	2.14836
TMUE_0000000002.2	1654	1496.24	13.0929	2.94572
TMUE_0000000002.3	1719	1561.24	120.488	25.9795
TMUE_0000000002.4	1866	1708.24	34.8621	6.87006
TMUE_0000000003.1	426	284.457	0	0
TMUE_0000000004.1	882	724.424	3	1.39407
TMUE_0000000005.1	1455	1297.24	1.74599	0.453083
TMUE_0000000006.1	822	664.641	668.137	338.404
TMUE_0000000007.1	1834	1676.24	111.771	22.4465
TMUE_0000000008.1	216	110.451	0	0
TMUE_0000000009.1	1847	1689.24	6.12785	1.22116
TMUE_0000000010.1	309	183.195	1	1.83757
TMUE_0000000011.1	399	260.408	0	0
TMUE_0000000012.1	2788	2630.24	147.691	18.9023
TMUE_0000000013.1	1947	1789.24	11.3967	2.14421
TMUE_0000000014.1	981	823.258	2	0.817807
TMUE_0000000015.1	837	679.58	3	1.48606
TMUE_0000000016.1	5766	5608.24	30.7492	1.84571
TMUE_0000000017.1	411	270.922	0	0
TMUE_0000000018.1	1920	1762.24	110.5	21.1083
TMUE_0000000019.1	1539	1381.24	75.5	18.4007
TMUE_0000000020.1	906	748.357	0	0
TMUE_0000000021.1	1191	1033.24	84.6387	27.5755
TMUE_0000000022.1	936	778.301	1.5	0.648784
TMUE_0000000023.1	1302	1144.24	7	2.05938
TMUE_0000000024.1	750	593.267	23.3333	13.2399
TMUE_0000000025.1	624	469.828	32	22.9281
TMUE_0000000026.1	2103	1945.24	2.5	0.432636
TMUE_0000000027.1	261	144.944	3	6.96751
TMUE_0000000028.1	510	361.557	0	0
TMUE_0000000029.1	2511	2353.24	51.5	7.36711
TMUE_0000000030.1	1065	907.243	19.5	7.23549
TMUE_0000000031.1	3423	3265.24	54	5.56718
TMUE_0000000032.1	1092	934.243	2	0.720654
TMUE_0000000033.1	2067	1909.24	0.5	0.0881588
TMUE_0000000034.1	2802	2644.24	3.5	0.445578
TMUE_0000000035.1	363	228.924	0	0
TMUE_0000000036.1	4548	4390.24	82.5	6.3259
TMUE_0000000037.1	474	328.006	13	13.3419
TMUE_0000000038.1	3360	3202.24	153	16.084
TMUE_0000000039.1	3426	3268.24	0	0
TMUE_0000000040.1	5470	5312.24	8.62402	0.546498
TMUE_0000000041.1	579	426.443	291	229.715
TMUE_0000000042.1	957	799.258	78.5	33.0628
TMUE_0000000043.1	1824	1666.24	11.6319	2.35002
TMUE_0000000044.1	1773	1615.24	0.666667	0.13894
TMUE_0000000045.1	240	128.542	9.99096	26.1649
TMUE_0000000046.1	499	351.242	49.5559	47.4948
TMUE_0000000047.1	876	718.477	1.89124	0.886118
TMUE_0000000048.1	3558	3400.24	47.4556	4.69823
TMUE_0000000049.1	753	596.256	0	0
TMUE_0000000050.1	2397	2239.24	311.802	46.8742
TMUE_0000000051.1	2940	2782.24	90.4559	10.9446
TMUE_0000000052.1	1839	1681.24	22	4.40503
TMUE_0000000053.1	759	602.19	1.5	0.838521
TMUE_0000000054.1	636	481.426	0.5	0.349621
TMUE_0000000055.1	2781	2623.24	0	0
TMUE_0000000056.1	7494	7336.24	0	0
TMUE_0000000057.1	2472	2314.24	2.45408	0.356973
TMUE_0000000058.1	963	805.258	0	0
TMUE_0000000059.1	3198	3040.24	0	0
TMUE_0000000060.1	1815	1657.24	72.1706	14.6599
