target_id	length	eff_length	est_counts	tpm
TMUE_0000000001.1	207	92.5483	14	107.507
TMUE_0000000002.1	2023	1856.79	0	0
TMUE_0000000002.2	1654	1487.79	1	0.477676
TMUE_0000000002.3	1719	1552.79	0	0
TMUE_0000000002.4	1866	1699.79	0	0
TMUE_0000000003.1	426	270.374	0	0
TMUE_0000000004.1	882	715.886	0	0
TMUE_0000000005.1	1455	1288.79	0	0
TMUE_0000000006.1	822	655.914	26	28.171
TMUE_0000000007.1	1834	1667.79	23.7033	10.1005
TMUE_0000000008.1	216	98.8516	0.5	3.5947
TMUE_0000000009.1	1847	1680.79	15	6.34239
TMUE_0000000010.1	309	169.746	0	0
TMUE_0000000011.1	399	245.868	0	0
TMUE_0000000012.1	2788	2621.79	1.46001	0.39576
TMUE_0000000013.1	1947	1780.79	24.9779	9.96823
TMUE_0000000014.1	981	814.794	8.25	7.19585
TMUE_0000000015.1	837	670.914	1	1.05928
TMUE_0000000016.1	5766	5599.79	15.4834	1.96503
TMUE_0000000017.1	411	256.712	0	0
TMUE_0000000018.1	1920	1753.79	14	5.67317
TMUE_0000000019.1	1539	1372.79	30.5	15.7896
TMUE_0000000020.1	906	739.826	0	0
TMUE_0000000021.1	1191	1024.79	15.4736	10.7308
TMUE_0000000022.1	936	769.826	0	0
TMUE_0000000023.1	1302	1135.79	0	0
TMUE_0000000024.1	750	583.964	3	3.651
TMUE_0000000025.1	624	458.988	17.5	27.0965
TMUE_0000000026.1	2103	1936.79	2	0.733876
TMUE_0000000027.1	261	132.037	1	5.38245
TMUE_0000000028.1	510	348.521	2	4.07829
TMUE_0000000029.1	2511	2344.79	48	14.5483
TMUE_0000000030.1	1065	898.794	6	4.74425
TMUE_0000000031.1	3423	3256.79	16	3.49145
TMUE_0000000032.1	1092	925.794	0	0
TMUE_0000000033.1	2067	1900.79	0	0
TMUE_0000000034.1	2802	2635.79	0	0
TMUE_0000000035.1	363	214.941	0	0
TMUE_0000000036.1	4548	4381.79	10	1.6219
TMUE_0000000037.1	474	314.541	26.5	59.8749
TMUE_0000000038.1	3360	3193.79	0	0
TMUE_0000000039.1	3426	3259.79	0	0
TMUE_0000000040.1	5470	5303.79	4.32628	0.579701
TMUE_0000000041.1	579	414.864	40	68.522
TMUE_0000000042.1	957	790.826	9	8.08793
TMUE_0000000043.1	1824	1657.79	5.39812	2.31413
TMUE_0000000044.1	1773	1606.79	0.333333	0.147433
TMUE_0000000045.1	240	116.284	1	6.1116
TMUE_0000000046.1	499	338.073	2.89071	6.07674
TMUE_0000000047.1	876	709.886	0	0
TMUE_0000000048.1	3558	3391.79	0	0
TMUE_0000000049.1	753	586.964	0	0
TMUE_0000000050.1	2397	2230.79	69	21.9819
TMUE_0000000051.1	2940	2773.79	0	0
TMUE_0000000052.1	1839	1672.79	12.5	5.3106
TMUE_0000000053.1	759	592.94	0	0
TMUE_0000000054.1	636	470.836	0	0
TMUE_0000000055.1	2781	2614.79	2	0.543587
TMUE_0000000056.1	7494	7327.79	0.000205534	1.99336e-05
TMUE_0000000057.1	2472	2305.79	8.77392	2.70427
TMUE_0000000058.1	963	796.826	0.0117123	0.0104461
TMUE_0000000059.1	3198	3031.79	0	0
TMUE_0000000060.1	1815	1648.79	0.55426	0.238904
TMUE_0000000061.1	1257	1090.79	25.5	16.614
TMUE_0000000062.1	1719	1552.79	36	16.4765
TMUE_0000000063.1	264	134.463	0	0
TMUE_0000000064.1	1029	862.794	0	0
TMUE_0000000065.1	3252	3085.79	24.8889	5.73211
TMUE_0000000066.1	291	155.542	0	0
TMUE_0000000067.1	3102	2935.79	61.4286	14.8703
TMUE_0000000068.1	345	199.705	456.5	1624.53
TMUE_0000000069.1	2762	2595.79	19.4071	5.31334
TMUE_0000000070.1	2424	2257.79	4	1.25908
TMUE_0000000071.1	534	371.307	0	0
TMUE_0000000072.1	591	426.606	33.6619	56.0773
TMUE_0000000073.1	3220	3053.79	26.5608	6.18127
TMUE_0000000073.2	2885	2718.79	0	0
TMUE_0000000074.1	531	368.429	0	0
TMUE_0000000075.1	9423	9256.79	5	0.383871
TMUE_0000000076.1	1065	898.794	4	3.16283
TMUE_0000000077.1	3715	3548.79	37.5675	7.52329
TMUE_0000000078.1	2661	2494.79	1.5	0.4273
TMUE_0000000079.1	6057	5890.79	0	0
TMUE_0000000079.2	3097	2930.79	0	0
TMUE_0000000079.3	6874	6707.79	0	0
TMUE_0000000079.4	2542	2375.79	0	0
TMUE_0000000079.5	2576	2409.79	0	0
TMUE_0000000079.6	2341	2174.79	5.48349	1.79191
TMUE_0000000080.1	246	120.742	0	0
TMUE_0000000081.1	1865	1698.79	0	0
TMUE_0000000081.2	1598	1431.79	23.2552	11.5429
TMUE_0000000082.1	750	583.964	0	0
TMUE_0000000083.1	414	259.418	0	0
TMUE_0000000084.1	411	256.712	0	0
TMUE_0000000085.1	510	348.521	0	0
TMUE_0000000086.1	240	116.284	0	0
TMUE_0000000087.1	642	476.779	0	0
TMUE_0000000088.1	1170	1003.79	0	0
TMUE_0000000089.1	1233	1066.79	0	0
TMUE_0000000090.1	1257	1090.79	0	0
TMUE_0000000091.1	1287	1120.79	0	0
TMUE_0000000092.1	1698	1531.79	0	0
TMUE_0000000093.1	1383	1216.79	0	0
TMUE_0000000094.1	1977	1810.79	3	1.17741
TMUE_0000000095.1	906	739.826	4.33333	4.16264
TMUE_0000000096.1	960	793.826	0	0
TMUE_0000000097.1	1749	1582.79	8	3.59205
TMUE_0000000098.1	1293	1126.79	23	14.5064
TMUE_0000000099.1	426	270.374	0	0
TMUE_0000000100.1	1107	940.794	24.5	18.5075
TMUE_0000000101.1	363	214.941	318.5	1053.09
TMUE_0000000102.1	231	109.614	2	12.967
TMUE_0000000103.1	405	251.248	0.5	1.41431
TMUE_0000000104.1	489	328.678	8	17.298
TMUE_0000000105.1	954	787.826	0	0
TMUE_0000000106.1	1242	1075.79	0	0
TMUE_0000000107.1	3315	3148.79	17	3.8369
TMUE_0000000108.1	567	403.199	0	0
TMUE_0000000109.1	1113	946.794	0	0
TMUE_0000000110.1	1386	1219.79	0	0
TMUE_0000000111.1	1131	964.794	0	0
TMUE_0000000112.1	516	354.26	0	0
TMUE_0000000113.1	1218	1051.79	0	0
TMUE_0000000114.1	870	703.886	63.915	64.5323
TMUE_0000000115.1	996	829.794	15.8785	13.5993
TMUE_0000000116.1	477	317.253	0	0
TMUE_0000000117.1	4590	4423.79	28.2243	4.53423
TMUE_0000000118.1	1917	1750.79	43.5	17.6575
TMUE_0000000119.1	1362	1195.79	30	17.8296
TMUE_0000000120.1	240	116.284	4	24.4464
TMUE_0000000121.1	837	670.914	10.5	11.1224
TMUE_0000000122.1	246	120.742	0	0
TMUE_0000000123.1	1635	1468.79	0.5	0.241928
TMUE_0000000124.1	1386	1219.79	45	26.2182
TMUE_0000000125.1	513	351.362	3	6.06796
TMUE_0000000126.1	1677	1510.79	0	0
TMUE_0000000127.1	1161	994.794	4.5	3.21481
TMUE_0000000128.1	933	766.826	17.5	16.2187
TMUE_0000000129.1	915	748.826	0	0
TMUE_0000000130.1	1429	1262.79	3	1.68836
TMUE_0000000131.1	1160	993.794	10.8463	7.75645
TMUE_0000000132.1	2241	2074.79	8.17852	2.8014
TMUE_0000000133.1	1758	1591.79	59.1059	26.3888
TMUE_0000000134.1	2778	2611.79	18	4.8979
TMUE_0000000135.1	656	490.541	85	123.146
TMUE_0000000136.1	369	219.962	0	0
TMUE_0000000137.1	618	453.1	0	0
TMUE_0000000138.1	1947	1780.79	15.5	6.18578
TMUE_0000000139.1	273	141.421	0	0
TMUE_0000000140.1	1839	1672.79	5.5	2.33666
TMUE_0000000141.1	1128	961.794	11	8.12806
TMUE_0000000142.1	2379	2212.79	13	4.17521
TMUE_0000000143.1	966	799.794	0	0
TMUE_0000000144.1	2259	2092.79	35.518	12.0614
TMUE_0000000145.1	1416	1249.79	0	0
TMUE_0000000146.1	801	634.94	2.99999	3.35787
TMUE_0000000147.1	3792	3625.79	38.5914	7.56422
TMUE_0000000148.1	288	153.022	0	0
TMUE_0000000149.1	1665	1498.79	0.333333	0.158057
TMUE_0000000150.1	1533	1366.79	24.1579	12.5612
TMUE_0000000150.2	1417	1250.79	0	0
TMUE_0000000150.3	1471	1304.79	0	0
TMUE_0000000151.1	1845	1678.79	162.909	68.9641
TMUE_0000000151.2	1859	1692.79	0	0
TMUE_0000000151.3	1806	1639.79	0	0
TMUE_0000000151.4	1841	1674.79	0	0
TMUE_0000000152.1	5529	5362.79	34.6951	4.59783
TMUE_0000000153.1	732	565.987	0	0
TMUE_0000000154.1	378	227.388	0	0
TMUE_0000000155.1	2586	2419.79	0	0
TMUE_0000000156.1	955	788.826	23.5725	21.2373
TMUE_0000000157.1	279	146.087	0	0
TMUE_0000000158.1	489	328.678	2	4.3245
TMUE_0000000159.1	1050	883.794	0	0
TMUE_0000000160.1	2493	2326.79	12.8463	3.92371
TMUE_0000000161.1	531	368.429	0.333333	0.642985
TMUE_0000000162.1	5733	5566.79	19.5	2.48946
TMUE_0000000163.1	3844	3677.79	7	1.35265
TMUE_0000000164.1	1665	1498.79	3.63761	1.72484
TMUE_0000000165.1	1236	1069.79	9.55597	6.34821
TMUE_0000000166.1	3159	2992.79	77	18.2848
TMUE_0000000167.1	201	88.344	12	96.534
TMUE_0000000168.1	786	619.94	0	0
TMUE_0000000169.1	207	92.5483	0	0
TMUE_0000000170.1	588	423.641	0.5	0.83878
TMUE_0000000171.1	654	488.641	0	0
TMUE_0000000172.1	399	245.868	0	0
TMUE_0000000173.1	1941	1774.79	0	0
TMUE_0000000174.1	921	754.826	0	0
TMUE_0000000175.1	339	194.511	0.710054	2.59432
TMUE_0000000176.1	324	182.117	0	0
TMUE_0000000177.1	3123	2956.79	0	0
TMUE_0000000178.1	546	382.859	13.5	25.0594
TMUE_0000000179.1	2721	2554.79	60	16.6906
TMUE_0000000180.1	759	592.94	1	1.19858
TMUE_0000000181.1	1041	874.794	0	0
TMUE_0000000182.1	510	348.521	18	36.7046
TMUE_0000000183.1	522	359.893	7	13.823
TMUE_0000000184.1	1188	1021.79	34	23.6479
TMUE_0000000185.1	1356	1189.79	2.5	1.49329
TMUE_0000000186.1	1455	1288.79	32	17.6459
TMUE_0000000187.1	2502	2335.79	2	0.608515
TMUE_0000000188.1	519	357.158	0	0
TMUE_0000000189.1	291	155.542	0	0
TMUE_0000000190.1	4424	4257.79	0	0
TMUE_0000000191.1	942	775.826	2	1.83207
TMUE_0000000192.1	1707	1540.79	4.9739	2.29419
TMUE_0000000193.1	903	736.856	0	0
TMUE_0000000194.1	267	136.847	7	36.353
TMUE_0000000195.1	1278	1111.79	15.9996	10.2273
TMUE_0000000196.1	990	823.794	9	7.76426
TMUE_0000000197.1	914	747.826	0	0
TMUE_0000000198.1	1623	1456.79	8	3.90273
TMUE_0000000199.1	1062	895.794	32.1579	25.5127
TMUE_0000000200.1	357	209.807	115.605	391.593
TMUE_0000000201.1	1050	883.794	0	0
TMUE_0000000202.1	2082	1915.79	99.6719	36.9743
TMUE_0000000203.1	1272	1105.79	0	0
TMUE_0000000204.1	1074	907.794	0	0
TMUE_0000000205.1	1416	1249.79	0	0
TMUE_0000000206.1	2997	2830.79	72.0578	18.0904
TMUE_0000000207.1	393	240.632	74	218.552
TMUE_0000000208.1	1593	1426.79	0	0
TMUE_0000000209.1	2255	2088.79	23	7.82543
TMUE_0000000210.1	1092	925.794	24.5947	18.8801
TMUE_0000000211.1	1722	1555.79	8	3.65438
TMUE_0000000212.1	1107	940.794	3	2.26622
TMUE_0000000213.1	2025	1858.79	14.5	5.54387
TMUE_0000000214.1	840	673.914	13.5	14.2366
TMUE_0000000215.1	483	323.068	0	0
TMUE_0000000216.1	318	176.994	0	0
TMUE_0000000217.1	783	616.94	0	0
TMUE_0000000218.1	987	820.794	3	2.59755
TMUE_0000000219.1	1152	985.794	0	0
TMUE_0000000220.1	972	805.794	0	0
TMUE_0000000221.1	354	207.388	0	0
TMUE_0000000222.1	2769	2602.79	0	0
TMUE_0000000223.1	333	189.537	0	0
TMUE_0000000224.1	1371	1204.79	0.5	0.29494
TMUE_0000000225.1	969	802.794	0	0
TMUE_0000000226.1	369	219.962	0	0
TMUE_0000000227.1	1005	838.794	1	0.847268
TMUE_0000000228.1	399	245.868	0.5	1.44525
TMUE_0000000229.1	423	267.543	0	0
TMUE_0000000230.1	426	270.374	14	36.7993
TMUE_0000000231.1	780	613.94	1.5	1.73637
TMUE_0000000232.1	786	619.94	18	20.6347
TMUE_0000000233.1	1251	1084.79	0.662871	0.434268
TMUE_0000000234.1	1281	1114.79	21.5	13.7063
TMUE_0000000235.1	837	670.914	1	1.05928
TMUE_0000000236.1	690	524.231	1.5	2.0335
TMUE_0000000237.1	681	515.295	0	0
TMUE_0000000238.1	252	125.233	0	0
TMUE_0000000239.1	690	524.231	3	4.067
TMUE_0000000240.1	1728	1561.79	26.5	12.0586
TMUE_0000000241.1	213	96.6812	0	0
TMUE_0000000242.1	1206	1039.79	8.47038	5.78938
TMUE_0000000243.1	1587	1420.79	2	1.0004
TMUE_0000000244.1	516	354.26	0	0
TMUE_0000000245.1	3312	3145.79	0	0
TMUE_0000000246.1	354	207.388	0	0
TMUE_0000000247.1	438	281.208	136.5	344.97
TMUE_0000000248.1	399	245.868	0	0
TMUE_0000000249.1	3168	3001.79	0	0
TMUE_0000000250.1	759	592.94	5	5.99288
TMUE_0000000251.1	930	763.826	6	5.58255
TMUE_0000000252.1	831	664.914	0.5	0.534418
TMUE_0000000253.1	1044	877.794	10.5	8.50106
TMUE_0000000254.1	2148	1981.79	10.2161	3.66356
TMUE_0000000255.1	633	467.875	33.773	51.2999
TMUE_0000000256.1	1245	1078.79	0	0
TMUE_0000000257.1	2550	2383.79	3.57789	1.06668
TMUE_0000000258.1	2232	2065.79	19.5	6.70847
TMUE_0000000259.1	369	219.962	0	0
TMUE_0000000260.1	603	438.5	0	0
TMUE_0000000261.1	525	362.729	0	0
TMUE_0000000262.1	786	619.94	0	0
TMUE_0000000263.1	2499	2332.79	0.5	0.152325
TMUE_0000000264.1	4251	4084.79	6	1.0439
TMUE_0000000265.1	4023	3856.79	1.5	0.276402
TMUE_0000000266.1	1074	907.794	17	13.3088
TMUE_0000000267.1	2712	2545.79	5.5	1.53538
TMUE_0000000268.1	2121	1954.79	30.4695	11.0775
TMUE_0000000269.1	2292	2125.79	4	1.33726
TMUE_0000000270.1	627	461.932	12.5	19.2313
TMUE_0000000271.1	2412	2245.79	9.5	3.00628
TMUE_0000000272.1	207	92.5483	61	468.422
TMUE_0000000273.1	561	397.363	0	0
TMUE_0000000274.1	6342	6175.79	0	0
TMUE_0000000275.1	903	736.856	0	0
TMUE_0000000276.1	306	167.35	0	0
TMUE_0000000277.1	462	303.286	0	0
TMUE_0000000278.1	543	379.968	0	0
TMUE_0000000279.1	564	400.298	0	0
TMUE_0000000280.1	1101	934.794	32.5	24.7083
TMUE_0000000281.1	387	235.351	0.850235	2.56743
TMUE_0000000282.1	222	103.07	1	6.89518
TMUE_0000000283.1	3881	3714.79	23.9007	4.57249
TMUE_0000000284.1	1185	1018.79	0	0
TMUE_0000000285.1	2238	2071.79	1.9823	0.679985
TMUE_0000000286.1	3834	3667.79	0	0
TMUE_0000000287.1	3256	3089.79	54.6393	12.5676
TMUE_0000000288.1	225	105.236	0	0
TMUE_0000000289.1	864	697.886	13	13.2384
TMUE_0000000290.1	1671	1504.79	17.5	8.26489
TMUE_0000000291.1	2115	1948.79	4.5	1.64105
TMUE_0000000292.1	1218	1051.79	333	225.004
TMUE_0000000293.1	2022	1855.79	35.5	13.5949
TMUE_0000000294.1	1362	1195.79	3.5	2.08012
TMUE_0000000295.1	927	760.826	5	4.67047
TMUE_0000000296.1	576	411.949	8.08679	13.9511
TMUE_0000000297.1	864	697.886	1.5	1.52751
TMUE_0000000298.1	1044	877.794	0.22656	0.183429
TMUE_0000000299.1	2541	2374.79	15	4.48892
