target_id	length	eff_length	est_counts	tpm
TMUE_0000000001.1	207	88.6721	1	1.90454
TMUE_0000000002.1	2023	1860.17	5.0411	0.457667
TMUE_0000000002.2	1654	1491.17	3.06813	0.347475
TMUE_0000000002.3	1719	1556.17	0	0
TMUE_0000000002.4	1866	1703.17	0	0
TMUE_0000000003.1	426	270.305	0	0
TMUE_0000000004.1	882	719.243	0	0
TMUE_0000000005.1	1455	1292.17	17.5608	2.2951
TMUE_0000000006.1	822	659.243	22.221	5.69239
TMUE_0000000007.1	1834	1671.17	122.523	12.3816
TMUE_0000000008.1	216	94.9764	0	0
TMUE_0000000009.1	1847	1684.17	54	5.41483
TMUE_0000000010.1	309	165.017	0	0
TMUE_0000000011.1	399	245.129	1	0.688941
TMUE_0000000012.1	2788	2625.17	12.7024	0.817155
TMUE_0000000013.1	1947	1784.17	153.535	14.5328
TMUE_0000000014.1	981	818.183	3	0.619223
TMUE_0000000015.1	837	674.243	0	0
TMUE_0000000016.1	5766	5603.17	19.7937	0.596581
TMUE_0000000017.1	411	256.355	1.5	0.988158
TMUE_0000000018.1	1920	1757.17	14	1.34552
TMUE_0000000019.1	1539	1376.17	28.5	3.49744
TMUE_0000000020.1	906	743.243	0	0
TMUE_0000000021.1	1191	1028.17	24.4782	4.02061
TMUE_0000000022.1	936	773.214	1	0.218412
TMUE_0000000023.1	1302	1139.17	35	5.18868
TMUE_0000000024.1	750	587.376	6.33333	1.82093
TMUE_0000000025.1	624	461.978	32	11.6978
TMUE_0000000026.1	2103	1940.17	11.5	1.001
TMUE_0000000027.1	261	127.272	3	3.98074
TMUE_0000000028.1	510	350.232	0	0
TMUE_0000000029.1	2511	2348.17	18.5	1.33051
TMUE_0000000030.1	1065	902.167	50	9.35965
TMUE_0000000031.1	3423	3260.17	8	0.414407
TMUE_0000000032.1	1092	929.167	2	0.363507
TMUE_0000000033.1	2067	1904.17	0	0
TMUE_0000000034.1	2802	2639.17	22.5	1.43977
TMUE_0000000035.1	363	212.339	2	1.59066
TMUE_0000000036.1	4548	4385.17	33	1.27088
TMUE_0000000037.1	474	315.689	13.5	7.22189
TMUE_0000000038.1	3360	3197.17	0.000116727	6.16568e-06
TMUE_0000000039.1	3426	3263.17	0	0
TMUE_0000000040.1	5470	5307.17	3.18395e-06	1.01316e-07
TMUE_0000000041.1	579	417.595	225.017	90.999
TMUE_0000000042.1	957	794.183	394.5	83.8886
TMUE_0000000043.1	1824	1661.17	0	0
TMUE_0000000044.1	1773	1610.17	0.666667	0.0699221
TMUE_0000000045.1	240	111.877	34.0454	51.392
TMUE_0000000046.1	499	339.681	1.04055	0.517333
TMUE_0000000047.1	876	713.243	0	0
TMUE_0000000048.1	3558	3395.17	2.31133	0.114968
TMUE_0000000049.1	753	590.376	3.54502	1.01406
TMUE_0000000050.1	2397	2234.17	144.78	10.9439
TMUE_0000000051.1	2940	2777.17	7.97528	0.484976
TMUE_0000000052.1	1839	1676.17	119	11.9896
TMUE_0000000053.1	759	596.353	1	0.283187
TMUE_0000000054.1	636	473.877	10	3.56378
TMUE_0000000055.1	2781	2618.17	20.5	1.32231
TMUE_0000000056.1	7494	7331.17	32.0203	0.737614
TMUE_0000000057.1	2472	2309.17	13.076	0.956303
TMUE_0000000058.1	963	800.183	18.912	3.9914
TMUE_0000000059.1	3198	3035.17	0	0
TMUE_0000000060.1	1815	1652.17	18.2233	1.86273
TMUE_0000000061.1	1257	1094.17	18	2.77821
TMUE_0000000062.1	1719	1556.17	52	5.64318
TMUE_0000000063.1	264	129.507	0	0
TMUE_0000000064.1	1029	866.167	0	0
TMUE_0000000065.1	3252	3089.17	314.234	17.1786
TMUE_0000000066.1	291	150.266	0	0
TMUE_0000000067.1	3102	2939.17	26	1.49391
TMUE_0000000068.1	345	196.108	794	683.758
TMUE_0000000069.1	2762	2599.17	320.865	20.848
TMUE_0000000070.1	2424	2261.17	0	0
TMUE_0000000071.1	534	373.539	142.842	64.5796
TMUE_0000000072.1	591	429.395	29	11.4056
TMUE_0000000073.1	3220	3057.17	30.9574	1.7101
TMUE_0000000073.2	2885	2722.17	0	0
TMUE_0000000074.1	531	370.605	0	0
TMUE_0000000075.1	9423	9260.17	30	0.547115
TMUE_0000000076.1	1065	902.167	136.635	25.5771
TMUE_0000000077.1	3715	3552.17	59.7811	2.84215
TMUE_0000000078.1	2661	2498.17	7	0.473209
TMUE_0000000079.1	6057	5894.17	0	0
TMUE_0000000079.2	3097	2934.17	4.09235	0.23554
TMUE_0000000079.3	6874	6711.17	5.43973	0.136885
TMUE_0000000079.4	2542	2379.17	0	0
TMUE_0000000079.5	2576	2413.17	0	0
TMUE_0000000079.6	2341	2178.17	42.5598	3.29978
TMUE_0000000080.1	246	116.252	1	1.4527
TMUE_0000000081.1	1865	1702.17	3.77887	0.374918
TMUE_0000000081.2	1598	1435.17	14.7891	1.74026
TMUE_0000000082.1	750	587.376	7.77174	2.23449
TMUE_0000000083.1	414	259.092	1.62548	1.05951
TMUE_0000000084.1	411	256.355	0	0
TMUE_0000000085.1	510	350.232	0	0
TMUE_0000000086.1	240	111.877	0.5	0.754757
TMUE_0000000087.1	642	479.831	0	0
TMUE_0000000088.1	1170	1007.17	2.5	0.419194
TMUE_0000000089.1	1233	1070.17	4	0.631226
TMUE_0000000090.1	1257	1094.17	0	0
TMUE_0000000091.1	1287	1124.17	25.5	3.83077
TMUE_0000000092.1	1698	1535.17	611.37	67.2551
TMUE_0000000093.1	1383	1220.17	0	0
TMUE_0000000094.1	1977	1814.17	3.5	0.325812
TMUE_0000000095.1	906	743.243	4.66667	1.06036
TMUE_0000000096.1	960	797.183	0	0
TMUE_0000000097.1	1749	1586.17	0	0
TMUE_0000000098.1	1293	1130.17	33.5	5.00586
TMUE_0000000099.1	426	270.305	1.5	0.937161
TMUE_0000000100.1	1107	944.167	37.5	6.70747
TMUE_0000000101.1	363	212.339	90.5	71.9772
TMUE_0000000102.1	231	105.411	75.5	120.959
TMUE_0000000103.1	405	250.725	29	19.5333
TMUE_0000000104.1	489	330.051	186.5	95.4276
TMUE_0000000105.1	954	791.198	47.5	10.1388
TMUE_0000000106.1	1242	1079.17	7.5	1.17368
TMUE_0000000107.1	3315	3152.17	32	1.71442
TMUE_0000000108.1	567	405.837	8.5	3.53707
TMUE_0000000109.1	1113	950.167	1	0.177737
TMUE_0000000110.1	1386	1223.17	0	0
TMUE_0000000111.1	1131	968.167	0	0
TMUE_0000000112.1	516	355.975	6.49351	3.08061
TMUE_0000000113.1	1218	1055.17	4.5	0.720224
TMUE_0000000114.1	870	707.243	66.2514	15.8199
TMUE_0000000115.1	996	833.167	17.3704	3.5209
TMUE_0000000116.1	477	318.576	0	0
TMUE_0000000117.1	4590	4427.17	100.408	3.83017
TMUE_0000000118.1	1917	1754.17	341	32.8292
TMUE_0000000119.1	1362	1199.17	23.5	3.30952
TMUE_0000000120.1	240	111.877	7	10.5666
TMUE_0000000121.1	837	674.243	17	4.25803
TMUE_0000000122.1	246	116.252	0.5	0.72635
TMUE_0000000123.1	1635	1472.17	17.5	2.00751
TMUE_0000000124.1	1386	1223.17	29	4.00395
TMUE_0000000125.1	513	353.108	6.5	3.10873
TMUE_0000000126.1	1677	1514.17	4	0.446131
TMUE_0000000127.1	1161	998.167	5.2906	0.895115
TMUE_0000000128.1	933	770.214	5	1.09631
TMUE_0000000129.1	915	752.229	1.10763	0.248668
TMUE_0000000130.1	1429	1266.17	624.565	83.3034
TMUE_0000000131.1	1160	997.167	25	4.23398
TMUE_0000000132.1	2241	2078.17	28.8361	2.34333
TMUE_0000000133.1	1758	1595.17	122.999	13.0218
TMUE_0000000134.1	2778	2615.17	15.2375	0.983987
TMUE_0000000135.1	656	493.774	12	4.10421
TMUE_0000000136.1	369	217.675	0	0
TMUE_0000000137.1	618	456.032	3.19958	1.18488
TMUE_0000000138.1	1947	1784.17	22	2.0824
TMUE_0000000139.1	273	136.314	3.5	4.33616
TMUE_0000000140.1	1839	1676.17	26.5	2.66996
TMUE_0000000141.1	1128	965.167	19	3.32451
TMUE_0000000142.1	2379	2216.17	7.90467	0.602363
TMUE_0000000143.1	966	803.183	0	0
TMUE_0000000144.1	2259	2096.17	457.958	36.8958
TMUE_0000000145.1	1416	1253.17	2.6444	0.356365
TMUE_0000000146.1	801	638.269	0	0
TMUE_0000000147.1	3792	3629.17	121.525	5.65504
TMUE_0000000148.1	288	147.893	1	1.1419
TMUE_0000000149.1	1665	1502.17	51.4877	5.78844
TMUE_0000000150.1	1533	1370.17	139.002	17.1326
