target_id	length	eff_length	est_counts	tpm
TMUE_0000000001.1	207	69.7968	160	194.399
TMUE_0000000002.1	2023	1845.8	69.2539	3.18177
TMUE_0000000002.2	1654	1476.8	0	0
TMUE_0000000002.3	1719	1541.8	617.441	33.9607
TMUE_0000000002.4	1866	1688.8	266.955	13.4051
TMUE_0000000003.1	426	255.001	0	0
TMUE_0000000004.1	882	704.796	3.6	0.43316
TMUE_0000000005.1	1455	1277.8	24.2503	1.6094
TMUE_0000000006.1	822	644.796	1282.08	168.617
TMUE_0000000007.1	1834	1656.8	483.095	24.727
TMUE_0000000008.1	216	75.3581	10.5	11.8159
TMUE_0000000009.1	1847	1669.8	283	14.3725
TMUE_0000000010.1	309	150.056	0	0
TMUE_0000000011.1	399	229.587	0	0
TMUE_0000000012.1	2788	2610.8	88.3352	2.86926
TMUE_0000000013.1	1947	1769.8	415.815	19.9244
TMUE_0000000014.1	981	803.796	188	19.8345
TMUE_0000000015.1	837	659.796	0	0
TMUE_0000000016.1	5766	5588.8	134.175	2.03593
TMUE_0000000017.1	411	240.986	0.5	0.175949
TMUE_0000000018.1	1920	1742.8	297	14.4517
TMUE_0000000019.1	1539	1361.8	3631	226.112
TMUE_0000000020.1	906	728.796	0	0
TMUE_0000000021.1	1191	1013.8	4619.26	386.394
TMUE_0000000022.1	936	758.796	52.5	5.86736
TMUE_0000000023.1	1302	1124.8	21	1.58327
TMUE_0000000024.1	750	572.796	79.3333	11.7453
TMUE_0000000025.1	624	447.924	98	18.5537
TMUE_0000000026.1	2103	1925.8	29	1.27702
TMUE_0000000027.1	261	108.963	74.5	57.981
TMUE_0000000028.1	510	336.043	0	0
TMUE_0000000029.1	2511	2333.8	217.5	7.90324
TMUE_0000000030.1	1065	887.796	110.5	10.555
TMUE_0000000031.1	3423	3245.8	841	21.9727
TMUE_0000000032.1	1092	914.796	62	5.74746
TMUE_0000000033.1	2067	1889.8	0	0
TMUE_0000000034.1	2802	2624.8	1	0.0323082
TMUE_0000000035.1	363	197.35	4	1.71882
TMUE_0000000036.1	4548	4370.8	903.5	17.5298
TMUE_0000000037.1	474	301.361	463	130.287
TMUE_0000000038.1	3360	3182.8	2693	71.7524
TMUE_0000000039.1	3426	3248.8	0	0
TMUE_0000000040.1	5470	5292.8	52.2018	0.83639
TMUE_0000000041.1	579	404.047	502	105.361
TMUE_0000000042.1	957	779.796	310.5	33.7668
TMUE_0000000043.1	1824	1646.8	130.981	6.74493
TMUE_0000000044.1	1773	1595.8	26.3333	1.39939
TMUE_0000000045.1	240	92.7414	0	0
TMUE_0000000046.1	499	325.576	3123.73	813.634
TMUE_0000000047.1	876	698.796	19.4251	2.35734
TMUE_0000000048.1	3558	3380.8	163.866	4.11036
TMUE_0000000049.1	753	575.796	0	0
TMUE_0000000050.1	2397	2219.8	3095.52	118.258
TMUE_0000000051.1	2940	2762.8	196.646	6.03595
TMUE_0000000052.1	1839	1661.8	299	15.2582
TMUE_0000000053.1	759	581.796	8.5	1.23896
TMUE_0000000054.1	636	459.431	0	0
TMUE_0000000055.1	2781	2603.8	2.5	0.081422
TMUE_0000000056.1	7494	7316.8	0	0
TMUE_0000000057.1	2472	2294.8	91.9104	3.39648
TMUE_0000000058.1	963	785.796	0	0
TMUE_0000000059.1	3198	3020.8	0	0
TMUE_0000000060.1	1815	1637.8	631.832	32.7153
TMUE_0000000061.1	1257	1079.8	232	18.2203
TMUE_0000000062.1	1719	1541.8	524	28.8213
TMUE_0000000063.1	264	111.687	0	0
TMUE_0000000064.1	1029	851.796	4.5	0.448008
TMUE_0000000065.1	3252	3074.8	234.431	6.46559
TMUE_0000000066.1	291	134.341	0	0
TMUE_0000000067.1	3102	2924.8	634	18.3824
TMUE_0000000068.1	345	182.501	2282	1060.37
TMUE_0000000069.1	2762	2584.8	35.0951	1.15141
TMUE_0000000070.1	2424	2246.8	151.401	5.71446
TMUE_0000000071.1	534	360.043	8	1.88427
TMUE_0000000072.1	591	415.184	182.781	37.3335
TMUE_0000000073.1	3220	3042.8	617.642	17.2136
TMUE_0000000073.2	2885	2707.8	506.585	15.8652
TMUE_0000000074.1	531	357.043	6	1.42508
TMUE_0000000075.1	9423	9245.8	677.374	6.21288
TMUE_0000000076.1	1065	887.796	9	0.859683
TMUE_0000000077.1	3715	3537.8	354.334	8.49354
TMUE_0000000078.1	2661	2483.8	341.333	11.6539
TMUE_0000000079.1	6057	5879.8	21.8506	0.315145
TMUE_0000000079.2	3097	2919.8	162.514	4.72007
TMUE_0000000079.3	6874	6696.8	125.529	1.58959
TMUE_0000000079.4	2542	2364.8	92.9767	3.33418
TMUE_0000000079.5	2576	2398.8	1038.15	36.7008
TMUE_0000000079.6	2341	2163.8	0.0083379	0.000326775
TMUE_0000000080.1	246	96.9291	0	0
TMUE_0000000081.1	1865	1687.8	421.394	21.1727
TMUE_0000000081.2	1598	1420.8	34.1413	2.03778
TMUE_0000000082.1	750	572.796	1.15873	0.171551
TMUE_0000000083.1	414	243.74	0	0
TMUE_0000000084.1	411	240.986	2.5	0.879744
TMUE_0000000085.1	510	336.043	0	0
TMUE_0000000086.1	240	92.7414	0	0
TMUE_0000000087.1	642	465.431	0	0
TMUE_0000000088.1	1170	992.796	5.5	0.469798
TMUE_0000000089.1	1233	1055.8	5.5	0.441765
TMUE_0000000090.1	1257	1079.8	0	0
TMUE_0000000091.1	1287	1109.8	0	0
TMUE_0000000092.1	1698	1520.8	0	0
TMUE_0000000093.1	1383	1205.8	0	0
TMUE_0000000094.1	1977	1799.8	194	9.14086
TMUE_0000000095.1	906	728.796	258.667	30.0984
TMUE_0000000096.1	960	782.796	16.5	1.78749
TMUE_0000000097.1	1749	1571.8	159.499	8.60539
TMUE_0000000098.1	1293	1115.8	367.5	27.9307
TMUE_0000000099.1	426	255.001	11	3.65813
TMUE_0000000100.1	1107	929.796	111.5	10.1694
TMUE_0000000101.1	363	197.35	20662.5	8878.79
TMUE_0000000102.1	231	86.1085	16	15.7573
TMUE_0000000103.1	405	235.278	93	33.5205
TMUE_0000000104.1	489	315.836	5969.5	1602.82
TMUE_0000000105.1	954	776.796	154	16.8121
TMUE_0000000106.1	1242	1064.8	10.5	0.836241
TMUE_0000000107.1	3315	3137.8	320	8.64837
TMUE_0000000108.1	567	392.575	3	0.648049
TMUE_0000000109.1	1113	935.796	0	0
TMUE_0000000110.1	1386	1208.8	36	2.52556
TMUE_0000000111.1	1131	953.796	11.1014	0.987033
TMUE_0000000112.1	516	342.043	50.7937	12.5933
TMUE_0000000113.1	1218	1040.8	14	1.1407
TMUE_0000000114.1	870	692.796	250.295	30.6376
TMUE_0000000115.1	996	818.796	54.5691	5.65171
TMUE_0000000116.1	477	304.179	3	0.836376
TMUE_0000000117.1	4590	4412.8	486.626	9.3517
TMUE_0000000118.1	1917	1739.8	1614	78.6709
TMUE_0000000119.1	1362	1184.8	431.5	30.8849
TMUE_0000000120.1	240	92.7414	67	61.2646
TMUE_0000000121.1	837	659.796	405	52.054
TMUE_0000000122.1	246	96.9291	8.5	7.43659
TMUE_0000000123.1	1635	1457.8	174.5	10.151
TMUE_0000000124.1	1386	1208.8	347.5	24.3787
TMUE_0000000125.1	513	339.043	1250.5	312.779
TMUE_0000000126.1	1677	1499.8	5.5	0.310985
TMUE_0000000127.1	1161	983.796	28.5	2.45668
TMUE_0000000128.1	933	755.796	145	16.2694
TMUE_0000000129.1	915	737.796	0	0
TMUE_0000000130.1	1429	1251.8	237	16.0555
TMUE_0000000131.1	1160	982.796	376.033	32.4467
TMUE_0000000132.1	2241	2063.8	950.173	39.0431
TMUE_0000000133.1	1758	1580.8	693.682	37.2129
TMUE_0000000134.1	2778	2600.8	1430.11	46.6306
TMUE_0000000135.1	656	479.431	353	62.4392
TMUE_0000000136.1	369	202.689	2.5	1.04597
TMUE_0000000137.1	618	441.924	37.8803	7.26899
TMUE_0000000138.1	1947	1769.8	560	26.8333
TMUE_0000000139.1	273	118.644	3.5	2.50167
TMUE_0000000140.1	1839	1661.8	223.5	11.4054
TMUE_0000000141.1	1128	950.796	189.5	16.9017
TMUE_0000000142.1	2379	2201.8	238.602	9.18981
TMUE_0000000143.1	966	788.796	0	0
TMUE_0000000144.1	2259	2081.8	191.099	7.78445
TMUE_0000000145.1	1416	1238.8	332.349	22.7512
TMUE_0000000146.1	801	623.796	32	4.35027
TMUE_0000000147.1	3792	3614.8	884.322	20.7461
TMUE_0000000148.1	288	131.752	0	0
TMUE_0000000149.1	1665	1487.8	0	0
TMUE_0000000150.1	1533	1355.8	581.748	36.3873
TMUE_0000000150.2	1417	1239.8	0	0
TMUE_0000000150.3	1471	1293.8	0	0
TMUE_0000000151.1	1845	1667.8	1482.47	75.3794
TMUE_0000000151.2	1859	1681.8	173.985	8.77299
TMUE_0000000151.3	1806	1628.8	0.000929975	4.84188e-05
TMUE_0000000151.4	1841	1663.8	0	0
TMUE_0000000152.1	5529	5351.8	1085.65	17.2028
TMUE_0000000153.1	732	554.796	10.5	1.60496
TMUE_0000000154.1	378	210.835	0	0
TMUE_0000000155.1	2586	2408.8	1107.09	38.9754
TMUE_0000000156.1	955	777.796	219.828	23.9677
TMUE_0000000157.1	279	124.482	0	0
TMUE_0000000158.1	489	315.836	14	3.75902
TMUE_0000000159.1	1050	872.796	0	0
TMUE_0000000160.1	2493	2315.8	150.059	5.49503
TMUE_0000000161.1	531	357.043	3.33333	0.791711
TMUE_0000000162.1	5733	5555.8	378.5	5.77735
TMUE_0000000163.1	3844	3666.8	136	3.14529
TMUE_0000000164.1	1665	1487.8	0	0
TMUE_0000000165.1	1236	1058.8	281.041	22.5096
TMUE_0000000166.1	3159	2981.8	737.262	20.9678
TMUE_0000000167.1	201	66.6123	219.5	279.44
TMUE_0000000168.1	786	608.796	0.0226611	0.00315659
TMUE_0000000169.1	207	69.7968	0	0
TMUE_0000000170.1	588	412.184	23	4.73201
TMUE_0000000171.1	654	477.431	5	0.888113
TMUE_0000000172.1	399	229.587	4	1.47748
TMUE_0000000173.1	1941	1763.8	12.2205	0.587555
TMUE_0000000174.1	921	743.796	0	0
TMUE_0000000175.1	339	176.729	7.08252	3.39852
TMUE_0000000176.1	324	163.432	0	0
TMUE_0000000177.1	3123	2945.8	3.31329	0.0953819
TMUE_0000000178.1	546	372.043	416.5	94.9358
TMUE_0000000179.1	2721	2543.8	659	21.9691
TMUE_0000000180.1	759	581.796	68	9.91167
TMUE_0000000181.1	1041	863.796	43	4.22149
TMUE_0000000182.1	510	336.043	795	200.623
TMUE_0000000183.1	522	348.043	1113	271.188
TMUE_0000000184.1	1188	1010.8	169.5	14.2205
TMUE_0000000185.1	1356	1178.8	129	9.28025
TMUE_0000000186.1	1455	1277.8	871.5	57.8382
TMUE_0000000187.1	2502	2324.8	96.5	3.52007
TMUE_0000000188.1	519	345.043	8.3575	2.05405
TMUE_0000000189.1	291	134.341	0	0
TMUE_0000000190.1	4424	4246.8	0	0
TMUE_0000000191.1	942	764.796	1.05549	0.117035
TMUE_0000000192.1	1707	1529.8	0	0
TMUE_0000000193.1	903	725.796	107	12.502
TMUE_0000000194.1	267	113.845	98	72.9996
TMUE_0000000195.1	1278	1100.8	542.009	41.755
TMUE_0000000196.1	990	812.796	363	37.8734
TMUE_0000000197.1	914	736.796	0	0
TMUE_0000000198.1	1623	1445.8	68.2857	4.00527
TMUE_0000000199.1	1062	884.796	989.151	94.8043
TMUE_0000000200.1	357	192.926	418.645	184.019
TMUE_0000000201.1	1050	872.796	12.9914	1.26227
TMUE_0000000202.1	2082	1904.8	508.397	22.6341
TMUE_0000000203.1	1272	1094.8	0	0
TMUE_0000000204.1	1074	896.796	5.82718	0.551028
TMUE_0000000205.1	1416	1238.8	0	0
TMUE_0000000206.1	2997	2819.8	601.26	18.0823
TMUE_0000000207.1	393	224.212	314.5	118.951
TMUE_0000000208.1	1593	1415.8	368.262	22.058
TMUE_0000000209.1	2255	2077.8	62	2.53045
TMUE_0000000210.1	1092	914.796	209.572	19.4276
TMUE_0000000211.1	1722	1544.8	391.069	21.468
TMUE_0000000212.1	1107	929.796	785.903	71.6787
TMUE_0000000213.1	2025	1847.8	241.5	11.0834
TMUE_0000000214.1	840	662.796	230.5	29.4917
TMUE_0000000215.1	483	309.836	0	0
TMUE_0000000216.1	318	158.068	0	0
TMUE_0000000217.1	783	605.796	7.97734	1.11671
TMUE_0000000218.1	987	809.796	0	0
TMUE_0000000219.1	1152	974.796	0	0
TMUE_0000000220.1	972	794.796	14.149	1.50966
TMUE_0000000221.1	354	190.711	4	1.77866
TMUE_0000000222.1	2769	2591.8	12	0.392635
TMUE_0000000223.1	333	171.926	0	0
TMUE_0000000224.1	1371	1193.8	11.5	0.816914
TMUE_0000000225.1	969	791.796	21	2.24913
TMUE_0000000226.1	369	202.689	17.5	7.32179
TMUE_0000000227.1	1005	827.796	0	0
TMUE_0000000228.1	399	229.587	0	0
TMUE_0000000229.1	423	252.413	0	0
TMUE_0000000230.1	426	255.001	284.5	94.6126
TMUE_0000000231.1	780	602.796	11.7593	1.65432
TMUE_0000000232.1	786	608.796	146.5	20.4068
TMUE_0000000233.1	1251	1073.8	1.95051	0.154041
TMUE_0000000234.1	1281	1103.8	457	35.1104
TMUE_0000000235.1	837	659.796	13	1.67087
TMUE_0000000236.1	690	512.796	19.5	3.22477
TMUE_0000000237.1	681	503.796	10	1.68327
