target_id	length	eff_length	est_counts	tpm
TMUE_0000000001.1	207	69.4846	560.5	245.877
TMUE_0000000002.1	2023	1851.64	312.209	5.13949
TMUE_0000000002.2	1654	1482.64	53.933	1.10879
TMUE_0000000002.3	1719	1547.64	1630.98	32.1226
TMUE_0000000002.4	1866	1694.64	490.85	8.8288
TMUE_0000000003.1	426	259.305	22.3556	2.62789
TMUE_0000000004.1	882	710.641	49.6699	2.13046
TMUE_0000000005.1	1455	1283.64	53.2226	1.26381
TMUE_0000000006.1	822	650.641	3262.64	152.848
TMUE_0000000007.1	1834	1662.64	1386.18	25.4128
TMUE_0000000008.1	216	74.6856	42.5	17.3454
TMUE_0000000009.1	1847	1675.64	827	15.0437
TMUE_0000000010.1	309	149.324	0	0
TMUE_0000000011.1	399	233.337	0	0
TMUE_0000000012.1	2788	2616.64	62.147	0.723947
TMUE_0000000013.1	1947	1775.64	1107.68	19.0148
TMUE_0000000014.1	981	809.641	295.135	11.1112
TMUE_0000000015.1	837	665.641	36	1.64852
TMUE_0000000016.1	5766	5594.64	923.99	5.03415
TMUE_0000000017.1	411	244.705	1	0.124563
TMUE_0000000018.1	1920	1748.64	801	13.9625
TMUE_0000000019.1	1539	1367.64	9896.5	220.567
TMUE_0000000020.1	906	734.641	0	0
TMUE_0000000021.1	1191	1019.64	12423.3	371.383
TMUE_0000000022.1	936	764.641	106.5	4.24544
TMUE_0000000023.1	1302	1130.64	87.3333	2.35443
TMUE_0000000024.1	750	578.641	284	14.9603
TMUE_0000000025.1	624	453.004	340	22.8775
TMUE_0000000026.1	2103	1931.64	89	1.40441
TMUE_0000000027.1	261	108.001	198	55.8813
TMUE_0000000028.1	510	339.997	3.04353	0.272856
TMUE_0000000029.1	2511	2339.64	795.5	10.3639
TMUE_0000000030.1	1065	893.641	360.285	12.2889
TMUE_0000000031.1	3423	3251.64	2420	22.6853
TMUE_0000000032.1	1092	920.641	168	5.56224
TMUE_0000000033.1	2067	1895.64	8.5	0.136677
TMUE_0000000034.1	2802	2630.64	3.5	0.0405544
TMUE_0000000035.1	363	199.02	12	1.83787
TMUE_0000000036.1	4548	4376.64	2719.5	18.94
TMUE_0000000037.1	474	304.751	1406.5	140.678
TMUE_0000000038.1	3360	3188.64	7842.21	74.966
TMUE_0000000039.1	3426	3254.64	0	0
TMUE_0000000040.1	5470	5298.64	24.4842	0.140848
TMUE_0000000041.1	579	408.459	1123.05	83.8074
TMUE_0000000042.1	957	785.641	859	33.3273
TMUE_0000000043.1	1824	1652.64	340.56	6.28126
TMUE_0000000044.1	1773	1601.64	103	1.96021
TMUE_0000000045.1	240	92.2305	37.8928	12.5232
TMUE_0000000046.1	499	329.234	8320.89	770.365
TMUE_0000000047.1	876	704.641	38.4563	1.66353
TMUE_0000000048.1	3558	3386.64	454.201	4.08799
TMUE_0000000049.1	753	581.641	7.96042	0.417169
TMUE_0000000050.1	2397	2225.64	11564.3	158.378
TMUE_0000000051.1	2940	2768.64	1059.85	11.6684
TMUE_0000000052.1	1839	1667.64	754	13.7816
TMUE_0000000053.1	759	587.641	31	1.60798
TMUE_0000000054.1	636	465.004	7	0.458852
TMUE_0000000055.1	2781	2609.64	9.5	0.110962
TMUE_0000000056.1	7494	7322.64	382.526	1.5923
TMUE_0000000057.1	2472	2300.64	409.9	5.43076
TMUE_0000000058.1	963	791.641	0	0
TMUE_0000000059.1	3198	3026.64	0	0
TMUE_0000000060.1	1815	1643.64	1437.93	26.6662
TMUE_0000000061.1	1257	1085.64	613.5	17.225
TMUE_0000000062.1	1719	1547.64	1566	30.8427
TMUE_0000000063.1	264	110.364	0	0
TMUE_0000000064.1	1029	857.641	7.5	0.266555
TMUE_0000000065.1	3252	3080.64	647.896	6.41055
TMUE_0000000066.1	291	133.548	5.08682	1.16102
TMUE_0000000067.1	3102	2930.64	1624.18	16.8928
TMUE_0000000068.1	345	182.428	6839.5	1142.78
TMUE_0000000069.1	2762	2590.64	135.139	1.59003
TMUE_0000000070.1	2424	2252.64	327.302	4.42882
TMUE_0000000071.1	534	363.855	0	0
TMUE_0000000072.1	591	420.004	751.988	54.5744
TMUE_0000000073.1	3220	3048.64	3329.13	33.2855
TMUE_0000000073.2	2885	2713.64	1034.97	11.6254
TMUE_0000000074.1	531	360.855	1.23824	0.104593
TMUE_0000000075.1	9423	9251.64	3745.74	12.341
TMUE_0000000076.1	1065	893.641	50	1.70545
TMUE_0000000077.1	3715	3543.64	940.502	8.08986
TMUE_0000000078.1	2661	2489.64	1340.37	16.4104
TMUE_0000000079.1	6057	5885.64	97.7528	0.506252
TMUE_0000000079.2	3097	2925.64	596.991	6.21982
TMUE_0000000079.3	6874	6702.64	346.835	1.57728
TMUE_0000000079.4	2542	2370.64	91.61	1.1779
TMUE_0000000079.5	2576	2404.64	2360.86	29.9262
TMUE_0000000079.6	2341	2169.64	0.0037714	5.29841e-05
TMUE_0000000080.1	246	96.6198	0	0
TMUE_0000000081.1	1865	1693.64	978.443	17.6094
TMUE_0000000081.2	1598	1426.64	539.452	11.5257
TMUE_0000000082.1	750	578.641	42.5556	2.2417
TMUE_0000000083.1	414	247.38	0.533622	0.0657505
TMUE_0000000084.1	411	244.705	31	3.86145
TMUE_0000000085.1	510	339.997	0	0
TMUE_0000000086.1	240	92.2305	0	0
TMUE_0000000087.1	642	471.004	14	0.906013
TMUE_0000000088.1	1170	998.641	11	0.335749
TMUE_0000000089.1	1233	1061.64	1.5	0.043067
TMUE_0000000090.1	1257	1085.64	0	0
TMUE_0000000091.1	1287	1115.64	1.5	0.0409824
TMUE_0000000092.1	1698	1526.64	34.8432	0.695684
TMUE_0000000093.1	1383	1211.64	0	0
TMUE_0000000094.1	1977	1805.64	923.5	15.5897
TMUE_0000000095.1	906	734.641	513.667	21.3126
TMUE_0000000096.1	960	788.641	17	0.657053
TMUE_0000000097.1	1749	1577.64	201.069	3.88479
TMUE_0000000098.1	1293	1121.64	1142	31.0344
TMUE_0000000099.1	426	259.305	45	5.28972
TMUE_0000000100.1	1107	935.641	316	10.2946
TMUE_0000000101.1	363	199.02	52928.5	8106.33
TMUE_0000000102.1	231	85.3088	54.5	19.473
TMUE_0000000103.1	405	238.999	236.5	30.1624
TMUE_0000000104.1	489	319.595	14603	1392.75
TMUE_0000000105.1	954	782.641	373	14.527
TMUE_0000000106.1	1242	1070.64	33.5	0.953744
TMUE_0000000107.1	3315	3143.64	1331	12.9055
TMUE_0000000108.1	567	396.499	55	4.22817
TMUE_0000000109.1	1113	941.641	0	0
TMUE_0000000110.1	1386	1214.64	47	1.17945
TMUE_0000000111.1	1131	959.641	0	0
TMUE_0000000112.1	516	345.997	233.763	20.5937
TMUE_0000000113.1	1218	1046.64	14	0.407719
TMUE_0000000114.1	870	698.641	748.085	32.6383
TMUE_0000000115.1	996	824.641	146.531	5.41621
TMUE_0000000116.1	477	307.751	7.5	0.742835
TMUE_0000000117.1	4590	4418.64	1001.39	6.90787
TMUE_0000000118.1	1917	1745.64	4646	81.1251
TMUE_0000000119.1	1362	1190.64	1435	36.7369
TMUE_0000000120.1	240	92.2305	173.5	57.3398
TMUE_0000000121.1	837	665.641	947.5	43.388
TMUE_0000000122.1	246	96.6198	22	6.94045
TMUE_0000000123.1	1635	1463.64	538.5	11.2146
TMUE_0000000124.1	1386	1214.64	866.5	21.7446
TMUE_0000000125.1	513	342.997	3551	315.567
TMUE_0000000126.1	1677	1505.64	26.5	0.536482
TMUE_0000000127.1	1161	989.641	129.462	3.98745
TMUE_0000000128.1	933	761.641	513.5	20.5504
TMUE_0000000129.1	915	743.641	0	0
TMUE_0000000130.1	1429	1257.64	493.6	11.9633
TMUE_0000000131.1	1160	988.641	851.526	26.2537
TMUE_0000000132.1	2241	2069.64	2574.32	37.9139
TMUE_0000000133.1	1758	1586.64	1805.72	34.69
TMUE_0000000134.1	2778	2606.64	3242.69	37.9188
TMUE_0000000135.1	656	485.004	1047	65.801
TMUE_0000000136.1	369	204.774	9	1.33968
TMUE_0000000137.1	618	447.004	129.827	8.85289
TMUE_0000000138.1	1947	1775.64	1847	31.7061
TMUE_0000000139.1	273	118.158	26.5	6.83618
TMUE_0000000140.1	1839	1667.64	1143.5	20.9009
TMUE_0000000141.1	1128	956.641	494.5	15.7561
TMUE_0000000142.1	2379	2207.64	535.052	7.38752
TMUE_0000000143.1	966	794.641	1.70535	0.0654145
TMUE_0000000144.1	2259	2087.64	668.407	9.75925
TMUE_0000000145.1	1416	1244.64	511.055	12.5157
TMUE_0000000146.1	801	629.641	104	5.03467
TMUE_0000000147.1	3792	3620.64	2394.4	20.1577
TMUE_0000000148.1	288	131.043	0	0
TMUE_0000000149.1	1665	1493.64	55.2002	1.12649
TMUE_0000000150.1	1533	1361.64	1255.01	28.0941
TMUE_0000000150.2	1417	1245.64	0	0
TMUE_0000000150.3	1471	1299.64	0	0
TMUE_0000000151.1	1845	1673.64	4570.25	83.2355
TMUE_0000000151.2	1859	1687.64	91.2895	1.64882
TMUE_0000000151.3	1806	1634.64	0	0
TMUE_0000000151.4	1841	1669.64	0	0
TMUE_0000000152.1	5529	5357.64	3219.11	18.3144
TMUE_0000000153.1	732	560.641	0	0
TMUE_0000000154.1	378	213.326	0	0
TMUE_0000000155.1	2586	2414.64	3077.19	38.8448
TMUE_0000000156.1	955	783.641	622.05	24.1957
TMUE_0000000157.1	279	123.08	3	0.742962
TMUE_0000000158.1	489	319.595	14	1.33524
TMUE_0000000159.1	1050	878.641	23.4786	0.814501
TMUE_0000000160.1	2493	2321.64	498.334	6.5427
TMUE_0000000161.1	531	360.855	9	0.760224
TMUE_0000000162.1	5733	5561.64	1387	7.60159
TMUE_0000000163.1	3844	3672.64	855.89	7.10347
TMUE_0000000164.1	1665	1493.64	10.1616	0.20737
TMUE_0000000165.1	1236	1064.64	709.925	20.3254
TMUE_0000000166.1	3159	2987.64	2487.95	25.3831
TMUE_0000000167.1	201	65.4736	712	331.471
TMUE_0000000168.1	786	614.641	23.8345	1.18199
TMUE_0000000169.1	207	69.4846	11.1468	4.88981
TMUE_0000000170.1	588	417.004	34.5	2.5218
TMUE_0000000171.1	654	483.004	18	1.13593
TMUE_0000000172.1	399	233.337	19	2.482
TMUE_0000000173.1	1941	1769.64	6.68268	0.115106
TMUE_0000000174.1	921	749.641	0	0
TMUE_0000000175.1	339	176.838	89.5572	15.4367
TMUE_0000000176.1	324	162.754	0	0
TMUE_0000000177.1	3123	2951.64	10.2789	0.106148
TMUE_0000000178.1	546	375.855	1308.5	106.117
TMUE_0000000179.1	2721	2549.64	2291	27.3891
TMUE_0000000180.1	759	587.641	90.5	4.69426
TMUE_0000000181.1	1041	869.641	127.5	4.46891
TMUE_0000000182.1	510	339.997	2328	208.708
TMUE_0000000183.1	522	351.997	3110.5	269.353
TMUE_0000000184.1	1188	1016.64	506.5	15.186
TMUE_0000000185.1	1356	1184.64	355.5	9.14711
TMUE_0000000186.1	1455	1283.64	2492.5	59.1865
TMUE_0000000187.1	2502	2330.64	292	3.8189
TMUE_0000000188.1	519	348.997	26.9561	2.35432
TMUE_0000000189.1	291	133.548	0	0
TMUE_0000000190.1	4424	4252.64	0	0
TMUE_0000000191.1	942	770.641	10.3703	0.410176
TMUE_0000000192.1	1707	1535.64	34.535	0.685489
TMUE_0000000193.1	903	731.641	129.045	5.37617
TMUE_0000000194.1	267	112.779	317.812	85.8962
TMUE_0000000195.1	1278	1106.64	995.48	27.4193
TMUE_0000000196.1	990	818.641	688.259	25.6265
TMUE_0000000197.1	914	742.641	68.4811	2.81075
TMUE_0000000198.1	1623	1451.64	349.227	7.33297
TMUE_0000000199.1	1062	890.641	2986.43	102.207
TMUE_0000000200.1	357	193.383	1537.29	242.309
TMUE_0000000201.1	1050	878.641	32.1851	1.11654
TMUE_0000000202.1	2082	1910.64	1480.03	23.6115
TMUE_0000000203.1	1272	1100.64	0	0
TMUE_0000000204.1	1074	902.641	0	0
TMUE_0000000205.1	1416	1244.64	0	0
TMUE_0000000206.1	2997	2825.64	2209.28	23.8322
TMUE_0000000207.1	393	227.547	1102.5	147.686
TMUE_0000000208.1	1593	1421.64	769.916	16.5076
TMUE_0000000209.1	2255	2083.64	227.748	3.33167
TMUE_0000000210.1	1092	920.641	692.309	22.9214
TMUE_0000000211.1	1722	1550.64	960.03	18.8714
TMUE_0000000212.1	1107	935.641	2076.52	67.6485
TMUE_0000000213.1	2025	1853.64	957	15.7368
TMUE_0000000214.1	840	668.641	468.5	21.3574
TMUE_0000000215.1	483	313.595	1.5	0.145798
TMUE_0000000216.1	318	157.44	0	0
TMUE_0000000217.1	783	611.641	0	0
TMUE_0000000218.1	987	815.641	0	0
TMUE_0000000219.1	1152	980.641	0	0
TMUE_0000000220.1	972	800.641	48.4519	1.84461
TMUE_0000000221.1	354	190.6	3	0.479765
TMUE_0000000222.1	2769	2597.64	20.5699	0.241371
TMUE_0000000223.1	333	171.145	0.5	0.0890508
TMUE_0000000224.1	1371	1199.64	22.5	0.571692
