target_id	length	eff_length	est_counts	tpm
TMUE_0000000001.1	207	92.6704	5	70.2784
TMUE_0000000002.1	2023	1846.68	0	0
TMUE_0000000002.2	1654	1477.68	0	0
TMUE_0000000002.3	1719	1542.68	7.39883	6.24712
TMUE_0000000002.4	1866	1689.68	0	0
TMUE_0000000003.1	426	264.193	0	0
TMUE_0000000004.1	882	705.905	0	0
TMUE_0000000005.1	1455	1278.68	3.07822	3.13567
TMUE_0000000006.1	822	646.02	55.3317	111.563
TMUE_0000000007.1	1834	1657.68	64.5482	50.7196
TMUE_0000000008.1	216	98.6963	0	0
TMUE_0000000009.1	1847	1670.68	19	14.8133
TMUE_0000000010.1	309	166.789	0	0
TMUE_0000000011.1	399	240.416	0	0
TMUE_0000000012.1	2788	2611.68	13.527	6.74644
TMUE_0000000013.1	1947	1770.68	11.8558	8.72131
TMUE_0000000014.1	981	804.683	5	8.09354
TMUE_0000000015.1	837	660.964	0	0
TMUE_0000000016.1	5766	5589.68	18.7467	4.36849
TMUE_0000000017.1	411	250.958	0	0
TMUE_0000000018.1	1920	1743.68	53.5	39.965
TMUE_0000000019.1	1539	1362.68	24	22.9409
TMUE_0000000020.1	906	729.812	0	0
TMUE_0000000021.1	1191	1014.68	12.5091	16.0579
TMUE_0000000022.1	936	759.717	2	3.42903
TMUE_0000000023.1	1302	1125.68	0	0
TMUE_0000000024.1	750	574.303	9	20.4124
TMUE_0000000025.1	624	449.982	8.5	24.6046
TMUE_0000000026.1	2103	1926.68	0	0
TMUE_0000000027.1	261	130.145	2	20.0169
TMUE_0000000028.1	510	340.97	0	0
TMUE_0000000029.1	2511	2334.68	46.5	25.9429
TMUE_0000000030.1	1065	888.683	2.5	3.66426
TMUE_0000000031.1	3423	3246.68	4	1.60477
TMUE_0000000032.1	1092	915.683	0	0
TMUE_0000000033.1	2067	1890.68	0	0
TMUE_0000000034.1	2802	2625.68	0	0
TMUE_0000000035.1	363	210.083	0	0
TMUE_0000000036.1	4548	4371.68	21	6.25697
TMUE_0000000037.1	474	307.459	23.5	99.5575
TMUE_0000000038.1	3360	3183.68	29.9589	12.2571
TMUE_0000000039.1	3426	3249.68	0	0
TMUE_0000000040.1	5470	5293.68	2.35909	0.58047
TMUE_0000000041.1	579	406.346	58	185.92
TMUE_0000000042.1	957	780.717	17	28.3628
TMUE_0000000043.1	1824	1647.68	14.7693	11.6756
TMUE_0000000044.1	1773	1596.68	0	0
TMUE_0000000045.1	240	114.811	0	0
TMUE_0000000046.1	499	330.744	3	11.8147
TMUE_0000000047.1	876	699.905	1.58143	2.9431
TMUE_0000000048.1	3558	3381.68	3.68975	1.42121
TMUE_0000000049.1	753	577.303	0	0
TMUE_0000000050.1	2397	2220.68	125.534	73.6323
TMUE_0000000051.1	2940	2763.68	0	0
TMUE_0000000052.1	1839	1662.68	7	5.4838
TMUE_0000000053.1	759	583.253	1	2.23324
TMUE_0000000054.1	636	461.708	0	0
TMUE_0000000055.1	2781	2604.68	0	0
TMUE_0000000056.1	7494	7317.68	0.000204573	3.6414e-05
TMUE_0000000057.1	2472	2295.68	3.18977	1.80984
TMUE_0000000058.1	963	786.717	0	0
TMUE_0000000059.1	3198	3021.68	0	0
TMUE_0000000060.1	1815	1638.68	13.5611	10.7793
TMUE_0000000061.1	1257	1080.68	17.5	21.0927
TMUE_0000000062.1	1719	1542.68	56	47.2829
TMUE_0000000063.1	264	132.302	0	0
TMUE_0000000064.1	1029	852.683	0	0
TMUE_0000000065.1	3252	3075.68	37.3043	15.7983
TMUE_0000000066.1	291	152.877	0	0
TMUE_0000000067.1	3102	2925.68	8.25	3.67299
TMUE_0000000068.1	345	195.557	148	985.782
TMUE_0000000069.1	2762	2585.68	2.88364	1.45265
TMUE_0000000070.1	2424	2247.68	2	1.15901
TMUE_0000000071.1	534	363.608	0	0
TMUE_0000000072.1	591	417.937	35.2562	109.88
TMUE_0000000073.1	3220	3043.68	42.2761	18.0921
TMUE_0000000073.2	2885	2708.68	0	0
TMUE_0000000074.1	531	360.749	0	0
TMUE_0000000075.1	9423	9246.68	29.6012	4.16981
TMUE_0000000076.1	1065	888.683	1.5	2.19856
TMUE_0000000077.1	3715	3538.68	0.0101287	0.00372826
TMUE_0000000078.1	2661	2484.68	9.75	5.11125
TMUE_0000000079.1	6057	5880.68	0	0
TMUE_0000000079.2	3097	2920.68	8.65776	3.86113
TMUE_0000000079.3	6874	6697.68	0	0
TMUE_0000000079.4	2542	2365.68	0	0
TMUE_0000000079.5	2576	2399.68	14.3221	7.77403
TMUE_0000000079.6	2341	2164.68	0	0
TMUE_0000000080.1	246	119.164	0	0
TMUE_0000000081.1	1865	1688.68	72.6197	56.0144
TMUE_0000000081.2	1598	1421.68	0	0
TMUE_0000000082.1	750	574.303	0	0
TMUE_0000000083.1	414	253.698	0	0
TMUE_0000000084.1	411	250.958	0.5	2.59515
TMUE_0000000085.1	510	340.97	0	0
TMUE_0000000086.1	240	114.811	0	0
TMUE_0000000087.1	642	467.588	0	0
TMUE_0000000088.1	1170	993.683	0	0
TMUE_0000000089.1	1233	1056.68	0	0
TMUE_0000000090.1	1257	1080.68	0	0
TMUE_0000000091.1	1287	1110.68	0	0
TMUE_0000000092.1	1698	1521.68	1	0.855991
TMUE_0000000093.1	1383	1206.68	0	0
TMUE_0000000094.1	1977	1800.68	7	5.06354
TMUE_0000000095.1	906	729.812	10.6667	19.0375
TMUE_0000000096.1	960	783.717	0	0
TMUE_0000000097.1	1749	1572.68	0	0
TMUE_0000000098.1	1293	1116.68	47	54.8228
TMUE_0000000099.1	426	264.193	0	0
TMUE_0000000100.1	1107	930.683	40.5	56.6822
TMUE_0000000101.1	363	210.083	356	2207.25
TMUE_0000000102.1	231	108.692	1.5	17.9758
TMUE_0000000103.1	405	245.649	4	21.2098
TMUE_0000000104.1	489	321.468	207	838.736
TMUE_0000000105.1	954	777.717	2	3.34967
TMUE_0000000106.1	1242	1065.68	0	0
TMUE_0000000107.1	3315	3138.68	15.5	6.43246
TMUE_0000000108.1	567	394.882	0	0
TMUE_0000000109.1	1113	936.683	0	0
TMUE_0000000110.1	1386	1209.68	2.5	2.69192
TMUE_0000000111.1	1131	954.683	1	1.36438
TMUE_0000000112.1	516	346.641	0	0
TMUE_0000000113.1	1218	1041.68	0	0
TMUE_0000000114.1	870	693.935	39.797	74.7008
TMUE_0000000115.1	996	819.683	47.0346	74.7421
TMUE_0000000116.1	477	310.269	0	0
TMUE_0000000117.1	4590	4413.68	40.6925	12.009
TMUE_0000000118.1	1917	1740.68	13.5	10.102
TMUE_0000000119.1	1362	1185.68	38.5	42.2946
TMUE_0000000120.1	240	114.811	7.5	85.0885
TMUE_0000000121.1	837	660.964	10	19.7067
TMUE_0000000122.1	246	119.164	0	0
TMUE_0000000123.1	1635	1458.68	4	3.57184
TMUE_0000000124.1	1386	1209.68	35	37.6868
TMUE_0000000125.1	513	343.806	27.5	104.187
TMUE_0000000126.1	1677	1500.68	0	0
TMUE_0000000127.1	1161	984.683	5.20234	6.88169
TMUE_0000000128.1	933	756.75	29.5	50.7765
TMUE_0000000129.1	915	738.781	0	0
TMUE_0000000130.1	1429	1252.68	0	0
TMUE_0000000131.1	1160	983.683	35	46.3453
TMUE_0000000132.1	2241	2064.68	43.3738	27.3632
TMUE_0000000133.1	1758	1581.68	92.8753	76.4846
TMUE_0000000134.1	2778	2601.68	10.9562	5.48526
TMUE_0000000135.1	656	481.323	24	64.9482
TMUE_0000000136.1	369	215.133	0	0
TMUE_0000000137.1	618	444.174	0.5	1.46626
TMUE_0000000138.1	1947	1770.68	14	10.2987
TMUE_0000000139.1	273	139.074	2.5	23.4147
TMUE_0000000140.1	1839	1662.68	9	7.0506
TMUE_0000000141.1	1128	951.683	27.5	37.6386
TMUE_0000000142.1	2379	2202.68	9.88567	5.84585
TMUE_0000000143.1	966	789.717	0	0
TMUE_0000000144.1	2259	2082.68	26.5292	16.5918
TMUE_0000000145.1	1416	1239.68	8.2442	8.66225
TMUE_0000000146.1	801	625.02	0	0
TMUE_0000000147.1	3792	3615.68	155.073	55.8648
TMUE_0000000148.1	288	150.418	0	0
TMUE_0000000149.1	1665	1488.68	0.333333	0.291655
TMUE_0000000150.1	1533	1356.68	67.2555	64.5718
