GO name,C0,C0 Rank,C1,C2,C3,C4,C5,C6,C0,C1,C2,C3,C4,C5,C6
membrane,332,1,98,148,171,128,430,148,5.935991418,6.1829653,6.085526316,7.913003239,8.544726302,8.669354839,10.42253521
nucleic acid binding,170,4,41,95,162,77,79,21,3.039513678,2.586750789,3.90625,7.496529385,5.140186916,1.592741935,1.478873239
nucleus,215,3,56,83,72,34,102,28,3.844090828,3.533123028,3.412828947,3.331790838,2.269692924,2.056451613,1.971830986
DNA integration,41,17,4,41,66,25,21,10,0.733059181,0.252365931,1.685855263,3.054141601,1.668891856,0.423387097,0.704225352
protein binding,242,2,63,114,63,46,110,36,4.326837118,3.974763407,4.6875,2.915316983,3.070761015,2.217741935,2.535211268
metal ion binding,157,5,48,55,51,25,103,37,2.807080279,3.028391167,2.261513158,2.36001851,1.668891856,2.076612903,2.605633803
transferase activity,111,8,34,38,47,27,81,21,1.984623637,2.14511041,1.5625,2.174919019,1.802403204,1.633064516,1.478873239
zinc ion binding,72,12,16,34,41,19,36,23,1.28732344,1.009463722,1.398026316,1.897269783,1.26835781,0.725806452,1.61971831
ATP binding,135,6,38,70,41,26,111,20,2.41373145,2.397476341,2.878289474,1.897269783,1.73564753,2.237903226,1.408450704
hydrolase activity,70,13,32,35,40,28,80,40,1.251564456,2.018927445,1.439144737,1.85099491,1.869158879,1.612903226,2.816901408
cytoplasm,95,9,31,37,36,25,87,17,1.698551761,1.955835962,1.521381579,1.665895419,1.668891856,1.754032258,1.197183099
nucleotide binding,127,7,42,65,35,35,110,22,2.270695512,2.649842271,2.672697368,1.619620546,2.336448598,2.217741935,1.549295775
DNA biosynthetic process,31,25,4,26,33,16,13,7,0.554264259,0.252365931,1.069078947,1.527070801,1.068090788,0.262096774,0.492957746
DNA-directed DNA polymerase activity,30,28,4,26,33,17,13,7,0.536384767,0.252365931,1.069078947,1.527070801,1.134846462,0.262096774,0.492957746
DNA polymerase complex,28,33,4,26,33,16,13,7,0.500625782,0.252365931,1.069078947,1.527070801,1.068090788,0.262096774,0.492957746
proteolysis,30,26,9,24,31,17,64,49,0.536384767,0.567823344,0.986842105,1.434521055,1.134846462,1.290322581,3.450704225
DNA binding,94,10,18,37,31,13,44,16,1.680672269,1.135646688,1.521381579,1.434521055,0.867823765,0.887096774,1.126760563
RNA binding,79,11,19,38,27,18,53,12,1.412479886,1.19873817,1.5625,1.249421564,1.201602136,1.068548387,0.845070423
enzyme binding,18,52,6,16,20,10,10,8,0.32183086,0.378548896,0.657894737,0.925497455,0.667556742,0.201612903,0.563380282
"regulation of transcription, DNA-templated",56,16,11,25,18,6,16,9,1.001251564,0.694006309,1.027960526,0.832947709,0.400534045,0.322580645,0.633802817
transmembrane transport,30,27,7,20,16,17,53,19,0.536384767,0.441640379,0.822368421,0.740397964,1.134846462,1.068548387,1.338028169
cytoskeleton,28,32,9,9,16,10,11,8,0.500625782,0.567823344,0.370065789,0.740397964,0.667556742,0.221774194,0.563380282
regulation of transcription by RNA polymerase II,30,30,3,12,16,6,6,4,0.536384767,0.189274448,0.493421053,0.740397964,0.400534045,0.120967742,0.281690141
