target_id	length	eff_length	est_counts	tpm
TMUE_0000000001.1	207	87.1925	5	10.4218
TMUE_0000000002.1	2023	1863.56	0	0
TMUE_0000000002.2	1654	1494.56	2.82474	0.343494
TMUE_0000000002.3	1719	1559.56	2.62509	0.305913
TMUE_0000000002.4	1866	1706.56	6.90825	0.7357
TMUE_0000000003.1	426	272.285	0	0
TMUE_0000000004.1	882	722.589	5.25	1.32045
TMUE_0000000005.1	1455	1295.56	13.0327	1.82823
TMUE_0000000006.1	822	662.629	31.3239	8.5913
TMUE_0000000007.1	1834	1674.56	118.508	12.8618
TMUE_0000000008.1	216	93.3938	0	0
TMUE_0000000009.1	1847	1687.56	71	7.64634
TMUE_0000000010.1	309	165.751	0.5	0.548236
TMUE_0000000011.1	399	246.701	0	0
TMUE_0000000012.1	2788	2628.56	0	0
TMUE_0000000013.1	1947	1787.56	151.128	15.3652
TMUE_0000000014.1	981	821.575	7	1.54848
TMUE_0000000015.1	837	677.603	4.99982	1.34101
TMUE_0000000016.1	5766	5606.56	21.2434	0.688623
TMUE_0000000017.1	411	257.999	0	0
TMUE_0000000018.1	1920	1760.56	10	1.03229
TMUE_0000000019.1	1539	1379.56	17	2.23956
TMUE_0000000020.1	906	746.575	0	0
TMUE_0000000021.1	1191	1031.56	21.053	3.70915
TMUE_0000000022.1	936	776.575	2.5	0.585074
TMUE_0000000023.1	1302	1142.56	24	3.81757
TMUE_0000000024.1	750	590.777	5.33333	1.6407
TMUE_0000000025.1	624	465.414	23	8.98137
TMUE_0000000026.1	2103	1943.56	10.5	0.981851
TMUE_0000000027.1	261	126.577	4.5	6.46119
TMUE_0000000028.1	510	353.115	0	0
TMUE_0000000029.1	2511	2351.56	13.5	1.04335
TMUE_0000000030.1	1065	905.558	64	12.8445
TMUE_0000000031.1	3423	3263.56	11.5	0.640413
TMUE_0000000032.1	1092	932.558	0	0
TMUE_0000000033.1	2067	1907.56	0	0
TMUE_0000000034.1	2802	2642.56	17.5	1.20356
TMUE_0000000035.1	363	213.393	1.5	1.27751
TMUE_0000000036.1	4548	4388.56	34.5	1.42873
TMUE_0000000037.1	474	318.203	6	3.4269
TMUE_0000000038.1	3360	3200.56	47	2.66886
TMUE_0000000039.1	3426	3266.56	0	0
TMUE_0000000040.1	5470	5310.56	28.1929	0.964837
TMUE_0000000041.1	579	420.855	211.276	91.2372
TMUE_0000000042.1	957	797.575	360.5	82.1463
TMUE_0000000043.1	1824	1664.56	6.43138	0.702197
TMUE_0000000044.1	1773	1613.56	0.333333	0.0375446
TMUE_0000000045.1	240	110.626	27	44.3569
TMUE_0000000046.1	499	342.385	1	0.530809
TMUE_0000000047.1	876	716.589	0	0
TMUE_0000000048.1	3558	3398.56	0	0
TMUE_0000000049.1	753	593.742	4.23568	1.29652
TMUE_0000000050.1	2397	2237.56	120.381	9.77771
TMUE_0000000051.1	2940	2780.56	12.7689	0.834591
TMUE_0000000052.1	1839	1679.56	121.5	13.1473
TMUE_0000000053.1	759	599.718	1	0.303045
TMUE_0000000054.1	636	477.32	2.87869	1.09607
TMUE_0000000055.1	2781	2621.56	29.5	2.04511
TMUE_0000000056.1	7494	7334.56	0	0
TMUE_0000000057.1	2472	2312.56	7.35102	0.577709
TMUE_0000000058.1	963	803.575	6.42196	1.45243
TMUE_0000000059.1	3198	3038.56	0	0
TMUE_0000000060.1	1815	1655.56	14.8322	1.62823
TMUE_0000000061.1	1257	1097.56	19.5	3.22895
TMUE_0000000062.1	1719	1559.56	37.5	4.37002
TMUE_0000000063.1	264	128.873	0	0
TMUE_0000000064.1	1029	869.558	0.5	0.104502
TMUE_0000000065.1	3252	3092.56	261.236	15.3522
TMUE_0000000066.1	291	150.706	0	0
TMUE_0000000067.1	3102	2942.56	2.8	0.172937
TMUE_0000000068.1	345	197.112	913	841.806
TMUE_0000000069.1	2762	2602.56	180.012	12.5706
TMUE_0000000070.1	2424	2264.56	0	0
TMUE_0000000071.1	534	376.631	174.966	84.4292
TMUE_0000000072.1	591	432.618	19.8248	8.32833
TMUE_0000000073.1	3220	3060.56	7.53119	0.447216
TMUE_0000000073.2	2885	2725.56	0	0
TMUE_0000000074.1	531	373.683	1	0.486352
TMUE_0000000075.1	9423	9263.56	28.1538	0.552349
TMUE_0000000076.1	1065	905.558	71.8966	14.4293
TMUE_0000000077.1	3715	3555.56	74.816	3.8242
TMUE_0000000078.1	2661	2501.56	0	0
TMUE_0000000079.1	6057	5897.56	1.99242	0.0613991
TMUE_0000000079.2	3097	2937.56	8.7566	0.541755
TMUE_0000000079.3	6874	6714.56	9.25033	0.250376
TMUE_0000000079.4	2542	2382.56	2.70072e-08	2.06011e-09
TMUE_0000000079.5	2576	2416.56	4.40798	0.331509
TMUE_0000000079.6	2341	2181.56	53.141	4.42707
TMUE_0000000080.1	246	115.037	0	0
TMUE_0000000081.1	1865	1705.56	0	0
TMUE_0000000081.2	1598	1438.56	7.20409	0.910134
TMUE_0000000082.1	750	590.777	5.30945	1.63335
TMUE_0000000083.1	414	260.858	1.88015	1.30991
TMUE_0000000084.1	411	257.999	0	0
TMUE_0000000085.1	510	353.115	1	0.51468
TMUE_0000000086.1	240	110.626	0.5	0.821425
TMUE_0000000087.1	642	483.244	0	0
TMUE_0000000088.1	1170	1010.56	3.5	0.629449
TMUE_0000000089.1	1233	1073.56	3	0.507866
TMUE_0000000090.1	1257	1097.56	0	0
TMUE_0000000091.1	1287	1127.56	9.5	1.53122
TMUE_0000000092.1	1698	1538.56	306.352	36.1876
TMUE_0000000093.1	1383	1223.56	0	0
TMUE_0000000094.1	1977	1817.56	2	0.199984
TMUE_0000000095.1	906	746.575	5.66667	1.37946
TMUE_0000000096.1	960	800.575	0	0
TMUE_0000000097.1	1749	1589.56	0	0
TMUE_0000000098.1	1293	1133.56	24	3.84788
TMUE_0000000099.1	426	272.285	2.5	1.66867
TMUE_0000000100.1	1107	947.558	30	5.75399
TMUE_0000000101.1	363	213.393	156	132.861
TMUE_0000000102.1	231	103.997	44.5	77.7664
TMUE_0000000103.1	405	252.323	16.5	11.8845
TMUE_0000000104.1	489	332.775	176.5	96.3935
TMUE_0000000105.1	954	794.575	21.5	4.91765
TMUE_0000000106.1	1242	1082.56	3.5	0.587585
TMUE_0000000107.1	3315	3155.56	22.5	1.29587
TMUE_0000000108.1	567	408.97	6.5	2.88853
TMUE_0000000109.1	1113	953.558	0	0
TMUE_0000000110.1	1386	1226.56	0.5	0.0740859
TMUE_0000000111.1	1131	971.558	11	2.05768
TMUE_0000000112.1	516	358.952	6	3.03786
